case_id,province,city,company_name,official_exit_year,official_exit_event,final_label,final_confidence,human_reviewer,validation_date,primary_evidence_doc,primary_evidence_lines,secondary_evidence_doc,secondary_evidence_lines,supplementary_source_id,final_rationale,alternative_label,ambiguity_note,caveat,source_coverage_score,notes
pilot_js_003,Jiangsu,Yancheng,盐城市城市资产投资集团有限公司,2015,Prospectus states that the issuer does not undertake government financing functions and that new debt after January 1 2015 is not local government debt.,nominal_exit,medium,Shunyu Hao / Codex-assisted review,2026-06-28,doc_js_yc_chengzi_2025_mtn2_prospectus,928-929,doc_js_yc_chengzi_2025_mtn2_prospectus,1030-1043;2003-2006;2537-2544,src_js_yc_001,"Formal no-government-financing language coexists with land-preparation and infrastructure construction functions, a 2013 engineering entrusted-construction agreement with the Yancheng government, and government support for affordable-housing projects.",functional_transfer,"The prospectus states that government receivables have real business backgrounds and do not constitute government financing, so the case sits near the boundary between nominal exit and formal fiscal substitution.",No separate platform-list exit document has been collected.,4,New low historical-capacity validated case; pairs with Xuzhou as a northern Jiangsu comparison.
pilot_gd_003,Guangdong,Foshan,佛山市建设发展集团有限公司,2018,Prospectus states that the issuer was not in the CBIRC local financing platform directory as of December 31 2018 while it also documents fiscal-settlement entrusted-construction projects and land-development functions.,functional_transfer,medium,Shunyu Hao / Codex-assisted review,2026-06-28,doc_gd_fs_jiantou_2025_mtn_prospectus,5102-5105;5137-5140,doc_gd_fs_jiantou_2025_mtn_prospectus,3994-3999;4011-4014;5113-5119;5187-5189,src_gd_fs_001,"The issuer is formally outside the financing-platform list and denies government purchase service or advance financing, but it continues land development and preparation under SASAC委托 and has fiscally settled entrusted-construction projects. This is best treated as functional transfer/formalization of public project tasks rather than a pure substantive exit.",nominal_exit,"Because the issuer is outside the 2018 list rather than shown leaving it, this is not a clean formal-exit event. The continued functions are structured through SASAC-owned land and contract settlement.",Use as a high-capacity formalization case unless direct former-platform evidence is found.,4,New validated case added in the June 28 expansion; useful for high-capacity functional transfer.
pilot_js_002,Jiangsu,Suzhou,苏州城市建设投资发展集团有限公司,2015,"Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt.",nominal_exit,medium,Shunyu Hao / Codex-assisted review,2026-06-30,doc_js_sz_chengtou_2026_mtn1_009,868-886;916-919;4792-4820,doc_js_sz_chengtou_2026_mtn1_009;doc_js_sz_chengtou_2026_mtn1_006,5002-5018;5928-5962;6498-6540;2248-2262;3666-3695,src_js_sz_002,"Formal no-government-financing language coexists with continuing evidence that the same issuer remains Suzhou's main urban infrastructure and public-utility investment construction and operation body, is described as responsible for project funding and debt repayment, and holds delegated-project accounts, fiscal special funds, and government-directed stakes in new-town and logistics projects.",substantive_exit,"The legal opinion states that the issuer has no PPP BT government purchase service project repurchase government-project advance-financing or land-reserve functions, so the case may also be read as formal fiscal substitution rather than continuing off-budget financing.",The current packet relies on issuer and legal-opinion disclosures from the same 2026 issuance page rather than an independent government or regulator exit-list document.,4,New validated case added in the June 30 expansion; strongest high historical-capacity nominal-exit contrast against Ningbo substantive exit and Guangzhou fiscal substitution.
pilot_sd_002,Shandong,Qingdao,青岛城市建设投资(集团)有限责任公司,2015,"Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt; the same document also describes a 2014 market-oriented reform and SOE transformation.",nominal_exit,medium,Shunyu Hao / Codex-assisted review,2026-06-30,doc_sd_qd_chengtou_2026_mtn2_001,1297-1324;2187-2194,doc_sd_qd_chengtou_2026_mtn2_001,2203-2282;2645-2691;10216-10220,src_sd_qd_002,"Formal no-government-financing language coexists with continuing land-development, urban-renewal, infrastructure-construction, delegated project-management, fiscal-settlement, and policy-loan-administration functions. The same issuer remains a municipal infrastructure and city-renewal vehicle, including projects for which fiscal funds or policy-bank loans support construction and repayment.",substantive_exit,"The prospectus repeatedly says that the delegated-management model is fiscal-funded rather than platform-financed, that the issuer has no PPP BT project repurchase government purchase service or advance financing for government projects, and that government receivables have operating backgrounds.",The current packet relies on issuer disclosures rather than an independent platform-list exit document. The case should be read as nominal exit near the boundary of formal fiscal substitution.,4,New validated case added in the June 30 expansion; middle-capacity coastal nominal-exit case between Suzhou and weaker debt-pressure cases.
pilot_sc_003,Sichuan,Luzhou,泸州市兴泸投资集团有限公司,2015,"The 2023 and 2018 prospectuses state that the issuer does not undertake government financing functions and that new debt after January 1 2015 is not local government debt.",nominal_exit,medium,Shunyu Hao / Codex-assisted review,2026-06-30,doc_sc_lz_xinglu_2023_mtn1_007;doc_sc_lz_xinglu_2018_mtn1_prospectus,902-908;2770-2817,doc_sc_lz_xinglu_2023_mtn1_007;doc_sc_lz_xinglu_2023_mtn1_003;doc_sc_lz_xinglu_2015_bond_prospectus,2384-2414;2420-2494;900-930;1503-1508;1695-1731;1899-1904;2601-2608,src_sc_lz_xinglu_001;src_sc_lz_xinglu_002;src_sc_lz_xinglu_003;src_sc_lz_xinglu_004;src_sc_lz_xinglu_005,"Formal no-government-financing language coexists with a long record of continuing infrastructure investment-financing, government-designated project construction, entrusted-construction receivables, fiscal subsidies, project repurchase payments, and financing-interest support. The same issuer remains central to Luzhou's public-project finance after the formal compliance point.",substantive_exit,"The issuer repeatedly uses compliance language and states that the bond proceeds do not add local government debt or hidden debt, so the case could be read as formal fiscal substitution.",No independent regulator or local government exit-list document has been collected. The label relies on repeated issuer disclosures and rating evidence rather than a direct platform-list exit notice.,4,New validated case added in the June 30 expansion; low historical-capacity western nominal-exit case with unusually rich cross-time source coverage.
expand_sd_jinan_chengjian,Shandong,Jinan,济南城市建设集团有限公司,2015,"Prospectus states that the issuer does not undertake government financing functions and that new debt after January 1 2015 is not local government debt; the same compliance section reports that the statement was confirmed with the Jinan Finance Bureau.",nominal_exit,medium,Shunyu Hao / Codex-assisted review,2026-06-30,doc_sd_jn_chengjian_2026_scp4_007,954-960;1062-1068,doc_sd_jn_chengjian_2026_scp4_007,1078-1088;1094-1117;2719-2725;2761-2788;2813-2821;2966-2986;4140-4169;4170-4183,src_sd_jn_chengjian_001,"Formal no-government-financing language coexists with continuing engineering construction, land preparation, and delegated infrastructure-construction functions. The issuer discloses PPP and BT or entrusted-construction arrangements, a historical project placed under hidden-debt management and resolved, government receivables, land injected by public authorities, and current Jinan Start-up Area infrastructure projects operated through entrusted construction and settlement with public-sector counterparties.",functional_transfer,"Many continuing functions are presented as legal fiscal-settlement or marketized construction businesses, so the case is close to formal fiscal substitution rather than unreformed platform borrowing.",No independent regulator or local government platform-list exit document has been collected. The label relies on issuer prospectus compliance language and should remain medium confidence until a list-level exit source is found.,4,New same-city second-platform validated case for Jinan; useful for checking whether city-level capacity predicts platform-level institutional fate consistently.
expand_fj_fuzhou_chengtou,Fujian,Fuzhou,福州城市建设投资集团有限公司,2015,"Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt.",functional_transfer,medium,Shunyu Hao / Codex-assisted review,2026-06-30,doc_fj_fz_chengtou_2026_scp2_005,1055-1059;1167-1170;1218-1220,doc_fj_fz_chengtou_2026_scp2_005;doc_fj_fz_chengtou_2026_scp2_009,1082-1089;1185-1208;1894-1910;7622-7651;7663-7692;88-95;547-578;589-592;1155-1163,src_fj_fz_chengtou_001,"Formal no-government-financing language coexists with a major reorganization of public-project finance. The issuer remains a leading Fuzhou infrastructure, shantytown-renovation, affordable-housing, municipal代建, and area-development platform, but the prospectus documents that after 2011 municipal project funding shifted from issuer financing with fiscal repayment to full fiscal appropriation and management-fee settlement. PPP projects, government-purchase-service projects that were later adjusted, fiscal subsidies, government receivables, and rating evidence of continuing fiscal support all point to functional transfer rather than substantive disappearance.",nominal_exit,"Because the same legal issuer continues to carry many public development tasks, a narrower reading would code the case as nominal exit. The functional-transfer label rests on the documented shift in project financing and settlement rules rather than on the disappearance of the function.",No independent platform-list exit document has been collected. Historical-capacity metrics for this added Fuzhou target still need to be merged into the candidate capacity file.,4,New Fujian provincial-capital validated case; useful as a formal fiscal-substitution contrast to nominal-exit cases.
expand_xj_urumqi_chengtou,Xinjiang,Urumqi,乌鲁木齐城市建设投资(集团)有限公司,2015,"Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt.",nominal_exit,medium,Shunyu Hao / Codex-assisted review,2026-06-30,doc_xj_wlmq_chengtou_2026_mtn2_003,1055-1060;1104-1105;1185-1191,doc_xj_wlmq_chengtou_2026_mtn2_003;doc_xj_wlmq_chengtou_2026_mtn2_006,568-621;767-777;1115-1136;1138-1165;1178-1191;2441-2454;2490-2523;2538-2554;80-87;154-156;385-395;415-421;478-482;956-962,src_xj_wlmq_chengtou_001,"Formal no-government-financing language coexists with unusually strong evidence of continuing platform functions. The issuer is described as a former government financing platform, the only municipal infrastructure construction financing platform in Urumqi, and the city's most important urban development and state-asset operating body. It continues infrastructure, shantytown-renovation, PPP, government-purchase-service, public-utility, and fiscal-support functions, with large government receivables, fiscal subsidies, government-paid service fees, and budgeted debt-resolution or repayment channels.",functional_transfer,"Some post-2017 projects are structured through government purchase service and PPP, and the prospectus says the issuer no longer has later-stage investment-financing functions for certain shantytown-renovation projects. This supports an alternative functional-transfer reading.",No independent platform-list exit document has been collected. Historical-capacity metrics for this added Urumqi target still need to be merged into the candidate capacity file.,4,New Xinjiang western-capital validated case; useful as a low-capacity/high-fiscal-dependence nominal-exit comparison.
expand_zj_yuyao_chengtou,Zhejiang,Yuyao,余姚市城市建设投资发展有限公司,2015,Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt; the same compliance section reports finance-bureau confirmation that the issuance will not add local-government or hidden debt.,nominal_exit,medium,Shunyu Hao / Codex-assisted review,2026-06-30,doc_zj_yuyao_chengtou_2026_mtn1_001,1162-1168;1179-1196;4005-4020,doc_zj_yuyao_chengtou_2026_mtn1_001;doc_zj_yuyao_chengtou_2026_mtn1_004,5764-5811;6371-6440;89-100;160-179;342-369,src_zj_yy_chengtou_001,"Formal no-government-financing language coexists with continued use of the same legal issuer as a core Yuyao public-development platform. The company remains important for land development, resettlement housing, public utilities, and municipal infrastructure, receives local-government support through asset injections and subsidies, and links public-project revenue to budgeted subsidies and government-authorized operating rights.",substantive_exit,"The prospectus states that the issuer has no PPP, government-purchase-service, BT, or government-project advance-financing arrangements, and several revenue channels are presented as budgeted or operating-right based. This supports a narrower substantive-exit reading.",No independent platform-list exit document has been collected. Historical-capacity metrics for this added Yuyao target still need to be merged into the candidate capacity file.,4,New Zhejiang county-level coastal validated case; useful for distinguishing formal fiscal compliance from continued platform use in a stronger local fiscal environment.
expand_js_taizhou_jindong,Jiangsu,Taizhou,泰州市金东城市建设投资集团有限公司,2015,Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt; the same disclosure says the issuance will not add local-government or hidden debt.,functional_transfer,medium,Shunyu Hao / Codex-assisted review,2026-06-30,doc_js_tz_jindong_2026_mtn1_002,857-862;1164-1190;3148-3160,doc_js_tz_jindong_2026_mtn1_002,1983-2022;2224-2256;2257-2268;3120-3143;3181-3221;4860-4872;4958-4962,src_js_tz_jindong_001,"Formal no-government-financing language coexists with a documented reorganization of public-project finance. Beginning in 2018, Xingdu Asset Management became the management and settlement node for land preparation and municipal construction projects, while the issuer continued to handle capital input, construction, land acquisition, demolition, and project procedures under entrusted-construction agreements. The issuer also remains the key infrastructure and state-asset platform in Jiangyan District.",nominal_exit,"The same issuer remains deeply involved in public projects and continues to receive government-linked repayments and subsidies, so a narrower reading could treat the reform as formal renaming rather than transfer.",No independent platform-list exit document has been collected. Historical-capacity metrics for this added Taizhou target still need to be merged into the candidate capacity file.,4,New Jiangsu prefecture-level validated case; useful as a clear functional-transfer example because the prospectus documents post-2018 project-management and settlement restructuring.
expand_hlj_harbin_chengtou,Heilongjiang,Harbin,哈尔滨市城市建设投资集团有限公司,2019,Prospectus states that the issuer was in the CBIRC full-caliber local-government financing-platform list at the end of 2018 and that on January 2 2019 the Heilongjiang CBIRC office changed its platform category from still-managed-as-platform to exit category.,nominal_exit,high,Shunyu Hao / Codex-assisted review,2026-06-30,doc_hlj_hrb_chengtou_2026_mtn1_003,4156-4162;4165-4178;4191-4195,doc_hlj_hrb_chengtou_2026_mtn1_003,938-941;944-971;975-981;5544-5565;5571-5574;5764-5792,src_hlj_hrb_chengtou_001,"The issuer has unusually direct formal-exit evidence: the prospectus reports a January 2019 move from still-managed-as-platform to exit category. Yet the same source continues to show infrastructure, affordable housing, PPP, entrusted-construction, government-receivable, and legacy project-development functions. The case is therefore coded as nominal exit rather than substantive disappearance.",functional_transfer,"The issuer also reports market-oriented transition and no future government-financing role, which could be interpreted as fiscal substitution if later sources show that public functions were clearly absorbed by budgetary or state-asset channels.",The original 2019 CBIRC category-change document was not independently retrieved in this pass; the direct exit-list evidence comes from the 2026 issuer prospectus.,4,New Northeast provincial-capital high-confidence exit-list case.
expand_hb_xiaogan_chengtou,Hubei,Xiaogan,孝感市城市建设投资公司,2015,Prospectus and legal opinion state that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt; Xiaogan Finance Bureau confirmation is reported in the compliance section.,functional_transfer,medium,Shunyu Hao / Codex-assisted review,2026-06-30,doc_hb_xg_chengtou_2026_mtn2_004,1147-1148;1248-1259;2168-2185,doc_hb_xg_chengtou_2026_mtn2_004;doc_hb_xg_chengtou_2026_mtn2_001,1213-1228;4400-4447;4590-4632;4672-4680;520-531;720-749,src_hb_xg_chengtou_001,"The documents state that the issuer no longer undertakes government financing and that, after 2018, project funds mainly come from fiscal-budget special appropriations, own funds, and state-asset operating income. At the same time, the issuer keeps project-management, entrusted-construction, and government-linked receivable functions, making this a functional-transfer case rather than pure substantive exit.",nominal_exit,"Because the issuer remains a major urban-construction and investment platform with large government-linked receivables, some evidence could support nominal exit if the fiscal-substitution channel proves weaker than the prospectus states.",No independent platform-list exit document was retrieved; the label relies on prospectus and legal-opinion disclosures.,4,New central-prefecture functional-transfer and fiscal-substitution case.
expand_tj_jinghai_chengtou,Tianjin,Jinghai,天津市静海城市基础设施建设投资集团有限公司,2011,"Prospectus states that Tianjin banking regulators initially recognized the issuer as a financing-platform company during the 2010 platform regularization campaign and that, under Tianjin CBRC Office document 2011 No. 214, the issuer met platform-loan exit conditions and was transferred out of the CBRC financing-platform list in June 2011.",nominal_exit,high,Shunyu Hao / Codex-assisted review,2026-06-30,doc_tj_jh_chengtou_2026_mtn1_002,3336-3346;1004-1021;3374-3393,doc_tj_jh_chengtou_2026_mtn1_007;doc_tj_jh_chengtou_2026_mtn1_008,287-295;344-354;408-414;709-729;627-634,src_tj_jh_chengtou_001,"The issuer has direct formal platform-list exit evidence, but the same legal issuer remains the core Jinghai infrastructure, heating, and entrusted-construction platform. The documents show BT legacy projects, post-2012 entrusted construction, fiscal settlement, government-linked receivables, and fiscal-support dependence. The official category changed while the public-development function remained inside the same corporate shell.",functional_transfer,Post-2012 entrusted-construction arrangements and no-government-financing language could support a functional-transfer reading if later evidence shows that project financing was durably absorbed by fiscal or other state-asset channels.,The original 2011 Tianjin banking-regulator exit notice was not collected directly; the direct exit evidence is quoted in the 2026 prospectus.,4,New Tianjin district high-confidence direct platform-list exit case.
expand_jx_zhanggong_jiantou,Jiangxi,Ganzhou Zhanggong,赣州市章贡区建设投资集团有限公司,2015,Prospectus and legal opinion state that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt; the legal opinion also states that the government has stripped the issuer of government financing functions after stock-debt clean-up and identification.,nominal_exit,medium,Shunyu Hao / Codex-assisted review,2026-06-30,doc_jx_zg_jiantou_2026_mtn1_003,1057-1088;1169-1194;1914-1931;2018-2025;2106-2121;2180-2187;2248-2257,doc_jx_zg_jiantou_2026_mtn1_005;doc_jx_zg_jiantou_2026_mtn1_001,687-719;809-826;861-870;980-1005;153-156;252-289;485-488;609-613,src_jx_zg_jiantou_001,"Formal no-government-financing language coexists with continuing municipal construction, affordable-housing and shantytown-renovation functions, fiscal-bureau settlement, large government-linked receivables, government subsidies, and transfer-loan arrangements through city- and province-level platforms. The same issuer remains central to the district development system, so the case is coded as nominal exit.",functional_transfer,"Some project functions are routed through Zhanggong Guotou, city-level platforms, provincial platforms, and fiscal settlement channels, so a functional-transfer reading is plausible if later evidence shows that financing responsibility moved away from the issuer more cleanly.",No independent regulator or local government platform-list exit document has been collected. The formal event relies on issuer and legal-opinion compliance language.,4,New Jiangxi core-district nominal-exit case with unusually rich fiscal-settlement and transfer-loan evidence.
expand_zj_wenling_guotou,Zhejiang,Wenling,温岭市国有资产投资集团有限公司,2015,"Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt; the legal opinion reports no government investment fund, BT, project repurchase, government-purchase-service, or government-project advance financing.",functional_transfer,medium,Shunyu Hao / Codex-assisted review,2026-06-30,doc_zj_wl_guotou_2026_mtn2_005,985-987;999-1019;497-501;584-588;2381-2388;2427-2430,doc_zj_wl_guotou_2026_mtn2_003,323-342,src_zj_wl_guotou_001,"Formal no-government-financing language coexists with continued public-project functions, but the current channel is fiscal and project-specific rather than classic platform repurchase or BT financing. The issuer receives fiscal project funds, records some construction funds as long-term payables, participates in PPP companies as the government-side investor, and continues infrastructure and state-asset functions. This pattern fits functional transfer.",nominal_exit,"The same issuer remains central to municipal infrastructure and state-asset management, and project funding remains closely tied to the Wenling government, so a nominal-exit reading remains plausible.",No independent platform-list exit document or rating report has been collected for this case. The label relies on issuer prospectus and legal-opinion disclosures.,3,New Zhejiang county-level functional-transfer case; useful as a fiscal-project-funding contrast to nominal-exit cases.
