case_id,province,city,company_name,evidence_packet,historical_capacity_bin,elite_per_1000_sqkm,elite_density_percentile,validation_tier,exit_type_family,confidence,interpretation_variant,formal_exit_evidence,continued_function_evidence,fiscal_substitution_evidence,debt_stress_evidence,source_coverage_score,next_validation_need,analytic_role
pilot_gz_003,Guizhou,Liupanshui,Liupanshui City Development Investment Group,coding/pilot_evidence_liupanshui_kaitou.md,low,0.60,0.000,source_only_candidate,unclear,low,weak_capacity_debt_continuity,no direct formal-exit source found,infrastructure entrusted construction remained main revenue source,asset injections and government subsidies remained important,low fiscal self-sufficiency rating watch guarantee risk and short-term debt pressure,3,find no-government-financing or exit source,weak-capacity debt-stress mechanism case
pilot_gz_002,Guizhou,Zunyi,Zunyi Road and Bridge Construction Group,coding/pilot_evidence_zunyi_daoqiao.md,low,7.21,0.188,source_only_candidate,unclear,medium,weak_capacity_restructuring,no final exit source found,infrastructure land development and road-bridge public-project functions continued,debt-resolution and restructuring process rather than clean fiscal substitution,bank-loan restructuring and rating attention notices,3,find formal platform-exit or debt-resolution source,extreme debt-stress candidate
pilot_gd_001_alt_metro,Guangdong,Guangzhou,Guangzhou Metro Group,coding/pilot_evidence_gz_metro.md,high,212.95,0.969,source_only_candidate,unclear,low,public_utility_platform_boundary,local-government-debt compliance language,rail-transit public function government support and fiscal linkages continued,formal transit investment and subsidy channels,limited in available packet,2,decide inclusion as sectoral SOE rather than core LGFV,alternative high-capacity boundary case
pilot_zj_002,Zhejiang,Ningbo,Ningbo Development Investment Group,coding/pilot_evidence_ningbo_kaitou.md,high,196.82,0.938,human_validated,substantive_exit,medium,substantive_compliance_exit,2015 no-government-financing language and explicit absence of core platform businesses,No major continuing platform function found in the prospectus; residual engineering receivable disclosed as non-financing background,Negative evidence: no government purchase service and no fiscal repayment for the bond,limited in available packet,3,collect independent platform-list or local SASAC confirmation,high-capacity substantive-exit contrast
pilot_zj_003,Zhejiang,Wenzhou,Wenzhou Mingcheng Construction Investment Group,coding/pilot_evidence_wenzhou_mingcheng.md,middle,30.20,0.594,human_validated,functional_transfer,medium,group_level_functional_transfer,No-government-financing language and non-platform-list disclosure at issuer level,Municipal construction group continues land preparation代建保障房 public utility and fiscal代建 receivable functions,Fiscal代建工程款 and fiscal compensation evidence,limited in available packet,3,collect Wenzhou SASAC group-reorganization and platform-list documents,middle-capacity functional-transfer case
pilot_js_004,Jiangsu,Xuzhou,Xuzhou Xinsheng Investment Holding Group,coding/pilot_evidence_xuzhou_xinsheng.md,low,5.52,0.125,human_validated,nominal_exit,medium,compliance_language_with_public_project_repayment,2015 no-government-financing language,棚户区改造市政水利设施配套土地整理政府购买服务委托代建 and fiscal subsidies,Government purchase payments budgeted annually and fiscal subsidy/project repurchase support,government purchase and entrusted-construction repayment risk,4,collect direct municipal platform-list or finance-bureau confirmation,low-capacity nominal-exit case
pilot_hn_004,Hunan,Hengyang,Hengyang City Construction Investment,coding/pilot_evidence_hengyang_chengtou.md,middle,18.58,0.469,human_validated,nominal_exit,high,direct_platform_exit_with_recurrent_public_functions,2011 exit 2012 re-entry and 2020 formal transfer out of CBIRC platform management,委托代建 project financing government settlement land preparation infrastructure保障房 fiscal subsidy evidence,Government annual payment for entrusted-construction cost and fiscal subsidies,government回购 and fiscal-settlement exposure,4,collect original CBIRC/Hengyang transfer-out notice,direct-exit benchmark for nominal exit
pilot_sd_001,Shandong,Jinan,Jinan City Investment Group,coding/pilot_evidence_jinan_chengtou.md,high,116.10,0.875,human_validated,nominal_exit,medium,non_platform_list_with_legacy_entrusted_projects,2015 no-government-financing language and not in banking-regulator platform list,land preparation government authorization infrastructure保障房 fiscal compensation and historical委托代建 assets,Unified compensation through land-preparation gains and fiscal subsidies,historical entrusted-construction回款 uncertainty,4,collect original banking-regulator list basis or local debt-identification material,high-capacity nominal-exit case
pilot_js_003,Jiangsu,Yancheng,Yancheng City Asset Investment Group,coding/pilot_evidence_yancheng_chengzi.md,low,2.21,0.062,human_validated,nominal_exit,medium,legal_compliance_with_entrusted_construction,2015 no-government-financing language,land preparation infrastructure委托建设 and保障性安居 work,Government-supported affordable housing and real-business-background government receivables,limited in available packet,4,collect direct finance-bureau or regulator exit source,low-capacity nominal-exit case
pilot_gd_003,Guangdong,Foshan,Foshan Construction Development Group,coding/pilot_evidence_foshan_jiantou.md,high,100.72,0.812,human_validated,functional_transfer,medium,formalized_sasac_project_functions,Not in CBIRC local financing platform directory as of 2018,SASAC-entrusted land preparation and fiscally settled entrusted-construction projects,财政性资金结算的委托代建 and contract-based settlement,limited in available packet,4,collect Foshan SASAC creation/reorganization sources,high-capacity functional-transfer case
