case_id,province,city,control_city,platform,exit_type,label_source,source_coverage_score,source_doc_types,platform_administrative_level,platform_administrative_level_source,platform_administrative_level_status,platform_scope_notes
expand_tj_jinghai_chengtou,Tianjin,Jinghai,Tianjin,天津市静海城市基础设施建设投资集团有限公司,nominal_exit,human_gold_standard,4,issuance_plan;prospectus;financial_statement;financial_report;rating_report;legal_opinion,district_or_county_level,rule_based_from_city_prefecture_mismatch,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_jx_zhanggong_jiantou,Jiangxi,Ganzhou Zhanggong,Ganzhou,赣州市章贡区建设投资集团有限公司,nominal_exit,human_gold_standard,4,rating_report;issuance_plan;prospectus;issuer_commitment;legal_opinion;financial_statement;financial_report,district_or_county_level,rule_based_from_city_prefecture_mismatch,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_zj_wenling_guotou,Zhejiang,Wenling,Taizhou,温岭市国有资产投资集团有限公司,functional_transfer,human_gold_standard,3,financial_statement;issuance_plan;legal_opinion;financial_report;prospectus,district_or_county_level,rule_based_from_city_prefecture_mismatch,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_js_yixing_chengfa,Jiangsu,Yixing,Wuxi,宜兴市城市发展投资有限公司,functional_transfer,human_gold_standard,3,financial_report;issuance_plan;prospectus;legal_opinion;financial_statement,district_or_county_level,rule_based_from_city_prefecture_mismatch,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_fj_fuzhou_guozi,Fujian,Fuzhou,Fuzhou,福州国有资本投资运营集团有限公司,functional_transfer,human_gold_standard,4,financial_report;rating_report;prospectus;financial_statement;legal_opinion;issuance_plan,,,to_code_from_source_packet,"Review ownership, controller, and business-scope sections in the source packet."
expand_js_zhenjiang_industry,Jiangsu,Zhenjiang,Zhenjiang,镇江产业投资控股集团有限公司,nominal_exit,human_gold_standard,3,financial_report;financial_statement;legal_opinion;prospectus;issuance_plan,,,to_code_from_source_packet,"Review ownership, controller, and business-scope sections in the source packet."
expand_js_jiangning_guozi,Jiangsu,Nanjing Jiangning,Nanjing,南京江宁国有资产经营集团有限公司,nominal_exit,human_gold_standard,4,financial_report;issuance_plan;bookrunner_commitment;prospectus;financial_statement;legal_opinion,district_or_county_level,rule_based_from_city_prefecture_mismatch,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_js_changshu_invest,Jiangsu,Changshu,Suzhou,常熟市投资控股集团有限公司,functional_transfer,human_gold_standard,3,prospectus;legal_opinion,district_or_county_level,rule_based_from_city_prefecture_mismatch,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_ah_suzhou_chengtou,Anhui,Suzhou,Suzhou,宿州市城市建设投资集团(控股)有限公司,nominal_exit,human_gold_standard,4,commitment_letter;financial_statement;legal_opinion;prospectus;issuance_plan,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_hb_huangshi_chengfa,Hubei,Huangshi,Huangshi,黄石市城市发展投资集团有限公司,nominal_exit,human_gold_standard,3,prospectus;financial_statement;issuance_plan;issuance_disclosure_document;legal_opinion,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_js_yancheng_chengnan,Jiangsu,Yancheng,Yancheng,盐城市城南新区开发建设投资有限公司,nominal_exit,human_gold_standard,4,issuance_plan;prospectus;financial_statement;legal_opinion;issuance_disclosure_document,district_or_development_zone_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_js_suzhou_xiangcheng,Jiangsu,Suzhou Xiangcheng,Suzhou,苏州市相城城市建设投资(集团)有限公司,nominal_exit,human_gold_standard,4,issuance_disclosure_document;financial_statement;issuance_plan;legal_opinion;prospectus,district_or_county_level,rule_based_from_city_prefecture_mismatch,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_sd_linyi_chengtou,Shandong,Linyi,Linyi,临沂城市建设投资集团有限公司,nominal_exit,human_gold_standard,4,issuance_disclosure_document;issuance_plan;prospectus;legal_opinion;financial_statement,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_jx_jian_chengtou,Jiangxi,Ji'an,Ji'an,吉安市城市建设投资开发有限公司,nominal_exit,human_gold_standard,4,issuance_disclosure_document;legal_opinion;rating_report;issuance_plan;prospectus;financial_statement,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_hen_luoyang_chengxiang,Henan,Luoyang,Luoyang,洛阳城乡建设投资集团有限公司,nominal_exit,human_gold_standard,4,issuance_plan;financial_statement;commitment_letter;legal_opinion;prospectus,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_js_zhangjiagang_chengtou,Jiangsu,Zhangjiagang,Suzhou,张家港市城市投资发展集团有限公司,nominal_exit,human_gold_standard,4,financial_statement;issuance_plan;legal_opinion;prospectus,district_or_county_level,rule_based_from_city_prefecture_mismatch,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_tj_jinnan_chengtou,Tianjin,Tianjin Jinnan,Tianjin,天津津南城市建设投资有限公司,nominal_exit,human_gold_standard,4,issuance_plan;issuance_disclosure_document;financial_statement;prospectus;commitment_letter;legal_opinion,district_or_county_level,rule_based_from_city_prefecture_mismatch,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_ah_luan_chengtou,Anhui,Lu'an,Lu'an,六安城市建设投资有限公司,nominal_exit,human_gold_standard,4,prospectus;issuance_disclosure_document;financial_statement;issuance_plan;legal_opinion,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_js_taizhou_chengtou,Jiangsu,Taizhou,Taizhou,泰州市城市建设投资集团有限公司,nominal_exit,human_gold_standard,4,legal_opinion;issuance_disclosure_document;issuance_plan;financial_statement;prospectus,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_jx_jingdezhen_chengtou,Jiangxi,Jingdezhen,Jingdezhen,景德镇市城市建设投资集团有限责任公司,nominal_exit,human_gold_standard,4,financial_statement;issuance_disclosure_document;issuance_plan;legal_opinion;prospectus,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_hb_jingmen_chengtou,Hubei,Jingmen,Jingmen,荆门市城市建设投资有限公司,nominal_exit,human_gold_standard,4,issuance_plan;prospectus;financial_statement;legal_opinion,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_jx_shangrao_chengtou,Jiangxi,Shangrao,Shangrao,上饶市城市建设投资开发集团有限公司,nominal_exit,human_gold_standard,4,issuance_disclosure_document;issuance_plan;legal_opinion;financial_statement;prospectus,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_js_huaian_touzi,Jiangsu,Huai'an,Huai'an,淮安市投资控股集团有限公司,nominal_exit,human_gold_standard,4,legal_opinion;issuance_plan;financial_statement;issuance_disclosure_document;prospectus,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_hn_yiyang_jiaotou,Hunan,Yiyang,Yiyang,益阳市交通投资运营集团有限公司,nominal_exit,human_gold_standard,4,issuance_plan;financial_statement;prospectus;legal_opinion,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_js_xinghua_guotou,Jiangsu,Xinghua,Taizhou,泰州市兴化国有资产投资控股有限公司,nominal_exit,human_gold_standard,4,issuance_plan;legal_opinion;financial_statement;prospectus,district_or_county_level,rule_based_from_city_prefecture_mismatch,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_sc_leshan_guozi,Sichuan,Leshan,Leshan,乐山国有资产投资运营(集团)有限公司,nominal_exit,human_gold_standard,4,issuance_disclosure_document;legal_opinion;prospectus;financial_statement;issuance_plan,,,to_code_from_source_packet,"Review ownership, controller, and business-scope sections in the source packet."
expand_sd_dezhou_deda,Shandong,Dezhou,Dezhou,德州德达投资控股集团有限公司,nominal_exit,human_gold_standard,4,legal_opinion;prospectus;financial_statement;issuance_disclosure_document;issuance_plan,,,to_code_from_source_packet,"Review ownership, controller, and business-scope sections in the source packet."
expand_jx_fuzhou_guozi,Jiangxi,Fuzhou,Fuzhou,抚州市市属国有资产投资控股集团有限公司,nominal_exit,human_gold_standard,4,issuance_plan;issuance_disclosure_document;legal_opinion;financial_statement;prospectus,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0155,Yunnan,Kunming,Kunming,昆明市交通投资集团有限责任公司,nominal_exit,human_gold_standard,4,issuance_plan;prospectus;issuance_disclosure_document;legal_opinion;financial_statement,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0117,Xinjiang,Yili,Yili,伊犁州国有资产投资经营有限责任公司,nominal_exit,human_gold_standard,4,issuance_plan;legal_opinion;financial_statement;issuance_disclosure_document;prospectus,,,to_code_from_source_packet,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0027,Anhui,Bozhou,Bozhou,建安投资控股集团有限公司,nominal_exit,human_gold_standard,4,issuance_disclosure_document;financial_statement;prospectus;legal_opinion;issuance_plan,,,to_code_from_source_packet,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0055,Jiangxi,Shangrao,Shangrao,上饶创新发展产业投资集团有限公司,nominal_exit,human_gold_standard,4,prospectus;issuance_disclosure_document;financial_statement;issuance_plan;legal_opinion,,,to_code_from_source_packet,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0151,Hebei,Shijiazhuang,Shijiazhuang,石家庄市交通投资开发有限公司,nominal_exit,human_gold_standard,4,prospectus;issuance_disclosure_document;legal_opinion;issuance_plan,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0052,Jiangsu,Nanjing,Nanjing,南京市交通建设投资控股(集团)有限责任公司,nominal_exit,human_gold_standard,4,issuance_disclosure_document;issuance_plan;financial_statement;prospectus;legal_opinion,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0019,Jiangsu,Haian,Nantong,江苏腾海投资控股集团有限公司,nominal_exit,human_gold_standard,4,issuance_disclosure_document;issuance_plan;legal_opinion;financial_statement;prospectus,district_or_county_level,rule_based_from_city_prefecture_mismatch,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0142,Jiangsu,Gaochun,Nanjing,江苏高淳国际慢城文化旅游产业投资集团有限公司,nominal_exit,human_gold_standard,4,issuance_disclosure_document;prospectus;financial_statement;legal_opinion;issuance_plan,district_or_county_level,rule_based_from_city_prefecture_mismatch,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0068,Zhejiang,Jiaxing,Jiaxing,嘉兴市嘉秀发展投资控股集团有限公司,nominal_exit,human_gold_standard,4,financial_report;issuance_plan;legal_opinion;prospectus;financial_statement,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_gx_nanning_chengtou,Guangxi,Nanning,Nanning,南宁城市建设投资集团有限责任公司,nominal_exit,human_gold_standard,4,prospectus;rating_report,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
pilot_gd_001_alt_metro,Guangdong,Guangzhou,Guangzhou,广州地铁集团有限公司,nominal_exit,human_gold_standard,4,prospectus;financial_report;legal_opinion;financial_statement;rating_report;issuance_plan,,,to_code_from_source_packet,"Review ownership, controller, and business-scope sections in the source packet."
pilot_js_001_alt_metro,Jiangsu,Nanjing,Nanjing,南京地铁集团有限公司,nominal_exit,human_gold_standard,4,financial_report;legal_opinion;issuance_plan;prospectus;financial_statement,,,to_code_from_source_packet,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0035,Zhejiang,Jiashan,Jiashan,嘉善县高新科技园区建设投资有限公司,nominal_exit,human_gold_standard,4,issuance_disclosure_document;legal_opinion;prospectus;issuance_plan;financial_statement,district_or_development_zone_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0015,Jiangsu,Xuzhou,Xuzhou,徐州经济技术开发区国有资产经营有限责任公司,nominal_exit,human_gold_standard,4,financial_statement;issuance_disclosure_document;issuance_plan;prospectus;legal_opinion,district_or_development_zone_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0029,Jiangsu,Jiangyin,Jiangyin,江阴高新区投资开发有限公司,nominal_exit,human_gold_standard,4,issuance_plan;prospectus;issuance_disclosure_document;legal_opinion;financial_statement,district_or_development_zone_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0047,Jiangsu,Liyang,Liyang,溧阳市城市建设发展集团有限公司,nominal_exit,human_gold_standard,4,issuance_disclosure_document;legal_opinion;financial_statement;issuance_plan;prospectus,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0051,Beijing,Beijing,Beijing,北京未来科学城发展集团有限公司,nominal_exit,human_gold_standard,4,legal_opinion;issuance_disclosure_document;prospectus;financial_statement;rating_report;issuance_plan,,,to_code_from_source_packet,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0056,Xinjiang,Urumqi,Urumqi,新疆城建(集团)股份有限公司,nominal_exit,human_gold_standard,4,financial_report;financial_statement;legal_opinion;prospectus;issuance_plan,,,to_code_from_source_packet,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0005,Hebei,Xingtai,Xingtai,河北顺德投资集团有限公司,nominal_exit,human_gold_standard,4,issuance_disclosure_document;financial_statement;legal_opinion;prospectus;issuance_plan,,,to_code_from_source_packet,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0048,Jiangsu,Changzhou,Changzhou,常州市交通产业集团有限公司,nominal_exit,human_gold_standard,4,financial_statement;issuance_disclosure_document;legal_opinion;issuance_plan;prospectus,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0046,Jiangsu,Xuzhou,Xuzhou,徐州市交通控股集团有限公司,nominal_exit,human_gold_standard,4,financial_statement;issuance_plan;prospectus;legal_opinion;issuance_disclosure_document,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0014,Henan,Zhengzhou,Zhengzhou,河南航空港投资集团有限公司,nominal_exit,human_gold_standard,4,legal_opinion;issuance_plan;commitment_letter;financial_report;prospectus;financial_statement,,,to_code_from_source_packet,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0021,Jiangsu,Taixing,Taixing,泰兴市中兴国有资产经营投资集团有限公司,nominal_exit,human_gold_standard,4,issuance_disclosure_document;issuance_plan;financial_statement;legal_opinion;prospectus,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0044,Jiangsu,Danyang,Danyang,丹阳投资集团有限公司,nominal_exit,human_gold_standard,4,issuance_plan;issuance_disclosure_document;prospectus;legal_opinion;financial_statement,,,to_code_from_source_packet,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0006,Shandong,Jinan,Jinan,济南高新控股集团有限公司,nominal_exit,human_gold_standard,4,issuance_plan;rating_report;legal_opinion;issuance_disclosure_document;prospectus;financial_statement,district_or_development_zone_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0007,Jiangsu,Suzhou,Suzhou,苏州吴中国太发展有限公司,nominal_exit,human_gold_standard,4,legal_opinion;issuance_plan;financial_statement;issuance_disclosure_document;prospectus,,,to_code_from_source_packet,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0032,Anhui,Bozhou,Bozhou,亳州城建发展控股集团有限公司,nominal_exit,human_gold_standard,4,issuance_disclosure_document;issuance_plan;prospectus;legal_opinion,,,to_code_from_source_packet,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0057,Jiangsu,Changzhou,Changzhou,常州天宁建设发展集团有限公司,nominal_exit,human_gold_standard,4,issuance_disclosure_document;legal_opinion;prospectus;financial_statement;issuance_plan,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0033,Zhejiang,Shaoxing,Shaoxing,绍兴滨海新区控股集团有限公司,nominal_exit,human_gold_standard,4,legal_opinion;issuance_plan;issuance_disclosure_document;prospectus;financial_statement,district_or_development_zone_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0054,Hubei,Huangshi,Huangshi,黄石市东楚投资集团有限公司,nominal_exit,human_gold_standard,4,issuance_plan;issuance_disclosure_document;legal_opinion;prospectus;financial_statement,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0028,Shandong,Shouguang,Shouguang,寿光市金旭产业发展集团有限公司,nominal_exit,human_gold_standard,4,financial_statement;prospectus;issuance_plan;legal_opinion;financial_report;rating_report,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0017,Zhejiang,Anji,Anji,浙江安吉国控建设发展集团有限公司,nominal_exit,human_gold_standard,4,issuance_disclosure_document;prospectus;financial_statement;issuance_plan;legal_opinion,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0013,Zhejiang,Jiaxing,Jiaxing,嘉兴科技城投资发展集团有限公司,nominal_exit,human_gold_standard,4,financial_statement;issuance_plan;legal_opinion;prospectus,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0025,Guangdong,Guangzhou,Guangzhou,知识城(广州)投资集团有限公司,nominal_exit,human_gold_standard,4,issuance_plan;financial_report;prospectus;rating_report;legal_opinion;issuance_disclosure_document;financial_statement,,,to_code_from_source_packet,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0008,Zhejiang,Huzhou,Huzhou,湖州莫干山国有资本控股集团有限公司,nominal_exit,human_gold_standard,3,commitment_letter;financial_report;financial_statement;issuance_plan;legal_opinion;prospectus,,,to_code_from_source_packet,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0137,Jiangsu,Nantong,Nantong,海安开发区建设投资有限公司,nominal_exit,human_gold_standard,4,legal_opinion;issuance_disclosure_document;commitment_letter;issuance_plan;prospectus;financial_statement,district_or_development_zone_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0069,Jiangsu,Changzhou,Changzhou,常州滨湖建设发展集团有限公司,nominal_exit,human_gold_standard,4,issuance_plan;issuance_disclosure_document;prospectus;legal_opinion,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
exp_20260703_0008,Shanxi,Jinzhong,Jinzhong,晋中市公用基础设施投资控股(集团)有限公司,nominal_exit,human_gold_standard,4,legal_opinion;issuance_disclosure_document;issuance_plan;financial_statement;prospectus,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
exp2_20260703_0009,Jiangsu,Nanjing,Nanjing,南京江北新城投资发展有限公司,nominal_exit,human_gold_standard,4,issuance_disclosure_document;financial_report;financial_statement;issuance_plan;legal_opinion;prospectus,district_or_development_zone_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
sch_20260630_0132,Shandong,Rizhao,Rizhao,日照城投集团有限公司,nominal_exit,human_gold_standard,4,financial_statement;issuance_disclosure_document;issuance_plan;rating_report;legal_opinion;prospectus,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
