case_id,city,final_label,fiscal_absorption,coordination,project_asset_governance
expand_js_taizhou_jindong,Taizhou,Functional transfer,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"Formal no-government-financing language coexists with a documented reorganization of public-project finance. Beginning in 2018, Xingdu Asset Management became the management and settlement node for land preparation and municipal construction projects, while the issuer continued to handle capital input, construction, land acquisition, demolition, and project procedures under entrusted-construction agreements. The issuer also remains the key infrastructure and state-asset platform in Jiangyan District."
expand_js_taizhou_chengtou,Taizhou,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"Formal transformation from government financing platform to city-industry investment operator coexists with continuing municipal infrastructure, shantytown and resettlement construction, finance-bureau receivables, infrastructure project inventory, government subsidies, and delegated public-project functions."
expand_jx_shangrao_chengtou,Shangrao,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"Formal no-government-financing language coexists with continuing infrastructure construction, shantytown redevelopment, resettlement housing, land preparation, entrusted construction, government purchase service, fiscal-budget repayment, and finance-bureau receivables. The issuer remains the largest local infrastructure and land-preparation unit, so the case is coded as nominal exit."
sch_20260630_0055,Shangrao,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"Formal no-government-financing and no-local-government-debt language coexists with continuing development-zone infrastructure construction, entrusted construction, PPP projects, government purchase service, fiscal budget payments, government receivables, and recurring government subsidies. Official compliance therefore does not amount to functional exit."
expand_hb_xiaogan_chengtou,Xiaogan,Functional transfer,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"The documents state that the issuer no longer undertakes government financing and that, after 2018, project funds mainly come from fiscal-budget special appropriations, own funds, and state-asset operating income. At the same time, the issuer keeps project-management, entrusted-construction, and government-linked receivable functions, making this a functional-transfer case rather than pure substantive exit."
expand_sd_dezhou_deda,Dezhou,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"Direct formal-exit and no-government-financing evidence coexists with continuing city-development, land-development, infrastructure construction, delegated construction, PPP-linked receivables, government debt replacement, and fiscal-settlement mechanisms. The same issuer remains tied to public project construction and government repayment channels, so the exit is coded as nominal exit."
expand_jx_jingdezhen_chengtou,Jingdezhen,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"Formal stripping of government financing and land-reserve functions coexists with continuing infrastructure construction, shantytown renovation, resettlement housing, land preparation, entrusted construction, government purchase service, fiscal settlement, government receivables, and subsidy evidence. The same issuer continues core public-development functions, so the exit is coded as nominal exit."
pilot_zj_003,Wenzhou,Functional transfer,Fiscal construction payments and fiscal compensation remain visible.,Issuer-level compliance is paired with group-level relocation of public functions.,"The municipal group continues land preparation, affordable housing, and public-utility functions."
expand_js_huaian_touzi,Huai'an,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"This is a direct formal exit-list case, but the same issuer continues water infrastructure, municipal infrastructure, land development, affordable housing, delegated construction, fiscal settlement, finance-bureau repayment, government buyback, and public-project functions. The formal list exit therefore did not remove the issuer from local public-development finance."
sch_20260630_0151,Shijiazhuang,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"Official no-government-financing and no-hidden-debt language coexists with continuing evidence that the same issuer and its subsidiaries plan build finance and operate major Shijiazhuang expressway assets through PPP BOT concession debt toll-right pledges government subsidies project-capital support and state-asset injections. The formal institutional statement is clean, but the infrastructure finance function remains inside the municipal transport platform system."
expand_hen_luoyang_chengxiang,Luoyang,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"Formal marketization and government-financing-function stripping coexist with continuing municipal infrastructure, municipal public project, affordable-housing, land-consolidation, and government-related receivable evidence. The same issuer continues core public-development functions under compliant language, so the case is coded as nominal exit."
sch_20260630_0155,Kunming,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"Formal no-government-financing and no-local-government-debt language coexists with continuing transportation infrastructure investment, government-authorized land development, legacy BT repayment, PPP participation, government-related receivables, and project funds linked to municipal transportation construction. The same issuer remains the relevant public-development vehicle after the formal compliance event."
expand_hb_huangshi_chengfa,Huangshi,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"Formal debt-compliance language coexists with continuing infrastructure investment, land development and整理, entrusted construction, public-housing and PPP/BOT activity, large government fiscal inflows, and payables to finance bureaus. The disclosed functions remain inside the issuer group, so this is coded as nominal exit rather than substantive exit or a clear functional transfer."
pilot_hn_004,Hengyang,Nominal exit,Annual government payments for entrusted construction and fiscal subsidies remain visible.,"Exit, re-entry, and 2020 CBIRC transfer-out language give the formal event unusual clarity.","The same issuer continues entrusted construction, land preparation, infrastructure, and affordable housing."
expand_hb_jingmen_chengtou,Jingmen,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"No-government-financing and no-hidden-debt language coexists with continuing infrastructure construction, affordable housing, government purchase service, PPP-related investment, entrusted construction, fiscal-budget repayment, finance-bureau project receivables, and subsidies. The same issuer remains the public-project vehicle, so the case is coded as nominal exit."
pilot_sd_002,Qingdao,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"Formal no-government-financing language coexists with continuing land-development, urban-renewal, infrastructure-construction, delegated project-management, fiscal-settlement, and policy-loan-administration functions. The same issuer remains a municipal infrastructure and city-renewal vehicle, including projects for which fiscal funds or policy-bank loans support construction and repayment."
expand_sd_linyi_chengtou,Linyi,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"Formal government-financing-function stripping and no-hidden-debt language coexist with continuing urban-rural development, infrastructure construction, affordable-housing or shantytown-related functions, government receivables, fiscal subsidy accounting, and public-resource state-asset operation. The same issuer remains central to the public-development system, so the exit is coded as nominal exit."
pilot_sc_003,Luzhou,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"Formal no-government-financing language coexists with a long record of continuing infrastructure investment-financing, government-designated project construction, entrusted-construction receivables, fiscal subsidies, project repurchase payments, and financing-interest support. The same issuer remains central to Luzhou's public-project finance after the formal compliance point."
pilot_hn_002,Zhuzhou,Nominal exit,Service-contract and fiscal-settlement evidence appears after formal exit.,Hunan banking-regulator exit is reported in issuer and legal documents.,"Land preparation, major projects, fiscal settlement, and government support continue."
expand_ah_luan_chengtou,Lu'an,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"Formal no-BT and no-government-financing language coexists with continuing entrusted construction, infrastructure, affordable housing, PPP, fiscal payment, government receivables, special payables for construction funds, and fiscal subsidies. The public-development function remains inside the same issuer."
expand_ah_suzhou_chengtou,Suzhou,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"Formal debt-compliance language coexists with continuing infrastructure construction, land-leveling, affordable-housing, entrusted-construction, fiscal-settlement, government-subsidy, and future public-development functions inside the same issuer. The documents do not show a clean relocation of these functions, so the institutional change is coded as nominal exit."
expand_hn_yiyang_jiaotou,Yiyang,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"Marketization and government-financing-function stripping coexist with continuing transport infrastructure, road and bridge buyback receivables, delegated construction, finance-bureau repayment, fiscal-funded BT legacy projects, government receivables, fiscal subsidies, and city-level infrastructure operation. The same issuer remains central to public project construction, so the exit is coded as nominal exit."
expand_sc_leshan_guozi,Leshan,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"This is a direct formal transfer-out case, but the same issuer remains Leshan's most important infrastructure and state-asset management body and continues municipal infrastructure, affordable housing, transport infrastructure, land development, entrusted construction, government purchase service, PPP projects, government receivables, and subsidy-dependent operations. The formal exit therefore did not remove the issuer from public-development finance."
pilot_js_004,Xuzhou,Nominal exit,"Budgeted government-purchase payments, fiscal subsidies, and project-repurchase support remain visible.",Issuer no-government-financing language is present; a direct government list source is still missing.,"Shantytown redevelopment, water infrastructure, land preparation, and entrusted construction continue."
sch_20260630_0027,Bozhou,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"Formal no-government-financing and no-local-government-debt language coexists with continuing land development, agency construction, government purchase service, fiscal settlement, government receivables, and subsidy-backed public-development functions. The same issuer group remains tied to Bozhou public investment after the formal compliance event."
pilot_js_003,Yancheng,Nominal exit,Government-supported affordable housing and real-business-background government receivables remain visible.,Issuer compliance language is present; a separate platform-list source is still missing.,"Land preparation, infrastructure entrusted construction, and affordable housing continue."
expand_js_yancheng_chengnan,Yancheng,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"The legal opinion provides strong compliance language and a negative list, but the source packet also shows continuing land development, infrastructure construction, government entrusted construction, fiscal project settlement, and infrastructure repayment cycles. Since these functions remain inside the issuer, the case is coded as nominal exit."
expand_hlj_harbin_chengtou,Harbin,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"The issuer has unusually direct formal-exit evidence: the prospectus reports a January 2019 move from still-managed-as-platform to exit category. Yet the same source continues to show infrastructure, affordable housing, PPP, entrusted-construction, government-receivable, and legacy project-development functions. The case is therefore coded as nominal exit rather than substantive disappearance."
