pool_id,pool_source,source_row_id,validation_status,case_pool_status,province,city,issuer_name,platform,source_doc_count,source_url,announcement_title,announcement_type,instrument_type,candidate_priority,historical_capacity_bin,debt_pressure_status,land_finance_dependence_status,llm_label_status,llm_label,llm_confidence,human_review_status,notes
master_0024,master_case_pool,pilot_yn_001,not_validated,candidate_not_started,Yunnan,Kunming,,,0,,,,,curated,middle,targeted_for_collection,not_collected,pending,,,not_validated,
master_0025,master_case_pool,pilot_hn_004,human_validated,human_validated,Hunan,Hengyang,衡阳市城市建设投资有限公司,衡阳市城市建设投资有限公司,1,src_hn_hy_001,,,,curated,middle,not_collected,not_collected,gold_standard,,,human_validated,New strongest validated case in the expansion because it has direct exit re-entry and transfer-out language.
master_0026,master_case_pool,pilot_sd_002,human_validated,human_validated,Shandong,Qingdao,青岛城市建设投资(集团)有限责任公司,青岛城市建设投资(集团)有限责任公司,7,src_sd_qd_002,,,,curated,middle,not_collected,not_collected,gold_standard,,,human_validated,New validated case added in the June 30 expansion; middle-capacity coastal nominal-exit case between Suzhou and weaker debt-pressure cases.
master_0027,master_case_pool,pilot_yn_003,not_validated,candidate_not_started,Yunnan,Yuxi,,,0,,,,,curated,middle,not_collected,not_collected,pending,,,not_validated,
master_0028,master_case_pool,pilot_sc_002,not_validated,candidate_not_started,Sichuan,Mianyang,,,0,,,,,curated,middle,not_collected,not_collected,pending,,,not_validated,
master_0029,master_case_pool,pilot_sd_004,not_validated,candidate_not_started,Shandong,Linyi,,,0,,,,,curated,middle,not_collected,not_collected,pending,,,not_validated,
master_0030,master_case_pool,pilot_sc_003,human_validated,human_validated,Sichuan,Luzhou,泸州市兴泸投资集团有限公司,泸州市兴泸投资集团有限公司,22,src_sc_lz_xinglu_001;src_sc_lz_xinglu_002;src_sc_lz_xinglu_003;src_sc_lz_xinglu_004;src_sc_lz_xinglu_005,,,,curated,low,not_collected,not_collected,gold_standard,,,human_validated,New validated case added in the June 30 expansion; low historical-capacity western nominal-exit case with unusually rich cross-time source coverage.
master_0031,master_case_pool,pilot_hn_002,human_validated,human_validated,Hunan,Zhuzhou,株洲市国有资产投资控股集团有限公司,株洲市国有资产投资控股集团有限公司,6,src_hn_zz_002,,,,curated,low,not_collected,not_collected,gold_standard,,,human_validated,Use as fifth human-validated pilot label and first low historical-capacity non-Guizhou nominal-exit case.
master_0032,master_case_pool,pilot_yn_004,not_validated,candidate_not_started,Yunnan,Honghe,,,0,,,,,curated,low,not_collected,not_collected,pending,,,not_validated,
master_0033,master_case_pool,pilot_gz_004,not_validated,candidate_not_started,Guizhou,Bijie,,,0,,,,,curated,low,targeted_for_collection,not_collected,pending,,,not_validated,
master_0034,master_case_pool,pilot_gz_002,not_validated,source_started,Guizhou,Zunyi,遵义道桥建设集团有限公司,遵义道桥建设集团有限公司,7,src_gz_zy_002;src_gz_zy_003,,,,curated,low,targeted_for_collection,not_collected,pending,,,not_validated,
master_0035,master_case_pool,pilot_yn_002,not_validated,candidate_not_started,Yunnan,Qujing,,,0,,,,,curated,low,not_collected,not_collected,pending,,,not_validated,
master_0036,master_case_pool,pilot_js_004,human_validated,human_validated,Jiangsu,Xuzhou,徐州市新盛投资控股集团有限公司,徐州市新盛投资控股集团有限公司,1,src_js_xz_001,,,,curated,low,not_collected,not_collected,gold_standard,,,human_validated,New low historical-capacity validated case; useful for the nominal-exit mechanism.
master_0037,master_case_pool,pilot_gd_004,not_validated,candidate_not_started,Guangdong,Zhanjiang,,,0,,,,,curated,low,not_collected,not_collected,pending,,,not_validated,
master_0038,master_case_pool,pilot_js_003,human_validated,human_validated,Jiangsu,Yancheng,盐城市城市资产投资集团有限公司,盐城市城市资产投资集团有限公司,1,src_js_yc_001,,,,curated,low,not_collected,not_collected,gold_standard,,,human_validated,New low historical-capacity validated case; pairs with Xuzhou as a northern Jiangsu comparison.
master_0039,master_case_pool,pilot_gd_002,not_validated,llm_candidate_ready,Guangdong,Shenzhen,深圳市特区建设发展集团有限公司,深圳市特区建设发展集团有限公司,8,src_gd_sz_002,,,,curated,low,not_collected,not_collected,pending,,,not_validated,
master_0040,master_case_pool,pilot_gz_003,not_validated,llm_candidate_ready,Guizhou,Liupanshui,六盘水市开发投资有限公司,六盘水市开发投资有限公司,5,src_gz_lps_002;src_gz_lps_003,,,,curated,low,targeted_for_collection,not_collected,pending,,,not_validated,
master_0041,master_case_pool,expand_zj_yuyao_chengtou,human_validated,human_validated,Zhejiang,Yuyao,余姚市城市建设投资发展有限公司,余姚市城市建设投资发展有限公司,9,src_zj_yy_chengtou_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Zhejiang county-level coastal validated case; useful for distinguishing formal fiscal compliance from continued platform use in a stronger local fiscal environment.
master_0042,master_case_pool,expand_js_taizhou_jindong,human_validated,human_validated,Jiangsu,Taizhou,泰州市金东城市建设投资集团有限公司,泰州市金东城市建设投资集团有限公司,7,src_js_tz_jindong_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Jiangsu prefecture-level validated case; useful as a clear functional-transfer example because the prospectus documents post-2018 project-management and settlement restructuring.
master_0043,master_case_pool,expand_hlj_harbin_chengtou,human_validated,human_validated,Heilongjiang,Harbin,哈尔滨市城市建设投资集团有限公司,哈尔滨市城市建设投资集团有限公司,7,src_hlj_hrb_chengtou_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Northeast provincial-capital high-confidence exit-list case.
master_0044,master_case_pool,expand_hb_xiaogan_chengtou,human_validated,human_validated,Hubei,Xiaogan,孝感市城市建设投资公司,孝感市城市建设投资公司,8,src_hb_xg_chengtou_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New central-prefecture functional-transfer and fiscal-substitution case.
master_0045,master_case_pool,expand_tj_jinghai_chengtou,human_validated,human_validated,Tianjin,Jinghai,天津市静海城市基础设施建设投资集团有限公司,天津市静海城市基础设施建设投资集团有限公司,9,src_tj_jh_chengtou_001,,,,curated,,targeted_for_collection,not_collected,gold_standard,,,human_validated,New Tianjin district high-confidence direct platform-list exit case.
master_0046,master_case_pool,expand_jx_zhanggong_jiantou,human_validated,human_validated,Jiangxi,Ganzhou Zhanggong,赣州市章贡区建设投资集团有限公司,赣州市章贡区建设投资集团有限公司,9,src_jx_zg_jiantou_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Jiangxi core-district nominal-exit case with unusually rich fiscal-settlement and transfer-loan evidence.
master_0047,master_case_pool,expand_zj_wenling_guotou,human_validated,human_validated,Zhejiang,Wenling,温岭市国有资产投资集团有限公司,温岭市国有资产投资集团有限公司,6,src_zj_wl_guotou_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Zhejiang county-level functional-transfer case; useful as a fiscal-project-funding contrast to nominal-exit cases.
master_0048,master_case_pool,expand_js_yixing_chengfa,human_validated,human_validated,Jiangsu,Yixing,宜兴市城市发展投资有限公司,宜兴市城市发展投资有限公司,7,src_js_yx_chengfa_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Jiangsu county-level functional-transfer case; useful as a high-capacity fiscal-management example.
master_0049,master_case_pool,expand_fj_fuzhou_guozi,human_validated,human_validated,Fujian,Fuzhou,福州国有资本投资运营集团有限公司,福州国有资本投资运营集团有限公司,8,src_fj_fz_guozi_001,,,,curated,low,not_collected,not_collected,gold_standard,,,human_validated,New Fuzhou state-capital-operation case; useful paired with the existing Fuzhou Chengtou case to show within-city differentiation across platforms.
master_0050,master_case_pool,expand_js_zhenjiang_industry,human_validated,human_validated,Jiangsu,Zhenjiang,镇江产业投资控股集团有限公司,镇江产业投资控股集团有限公司,7,src_js_zhenjiang_industry_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Jiangsu boundary case; useful for distinguishing nominal exit from partial functional transfer.
master_0051,master_case_pool,expand_js_jiangning_guozi,human_validated,human_validated,Jiangsu,Nanjing Jiangning,南京江宁国有资产经营集团有限公司,南京江宁国有资产经营集团有限公司,9,src_js_jiangning_guozi_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New high-confidence Jiangsu district nominal-exit case.
master_0052,master_case_pool,expand_js_changshu_invest,human_validated,human_validated,Jiangsu,Changshu,常熟市投资控股集团有限公司,常熟市投资控股集团有限公司,2,src_js_changshu_invest_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Jiangsu county-level functional-transfer case; useful counterweight to high-confidence nominal cases.
master_0053,master_case_pool,expand_ah_suzhou_chengtou,human_validated,human_validated,Anhui,Suzhou,宿州市城市建设投资集团(控股)有限公司,宿州市城市建设投资集团(控股)有限公司,8,src_ah_suzhou_chengtou_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Anhui validated case from the June 30 Shanghai Clearing candidate harvest; useful as a high-priority nominal-exit example in an inland prefecture.
master_0054,master_case_pool,expand_hb_huangshi_chengfa,human_validated,human_validated,Hubei,Huangshi,黄石市城市发展投资集团有限公司,黄石市城市发展投资集团有限公司,9,src_hb_huangshi_chengfa_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Hubei validated case from the June 30 Shanghai Clearing candidate harvest; useful as a central-prefecture nominal-exit case with explicit fiscal-dependence evidence.
master_0055,master_case_pool,expand_js_yancheng_chengnan,human_validated,human_validated,Jiangsu,Yancheng,盐城市城南新区开发建设投资有限公司,盐城市城南新区开发建设投资有限公司,7,src_js_yancheng_chengnan_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Yancheng same-city expansion case; useful for comparing district-level development platforms with the existing Yancheng City Asset case.
master_0056,master_case_pool,expand_js_suzhou_xiangcheng,human_validated,human_validated,Jiangsu,Suzhou Xiangcheng,苏州市相城城市建设投资(集团)有限公司,苏州市相城城市建设投资(集团)有限公司,9,src_js_suzhou_xiangcheng_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Suzhou district validated case; useful high-capacity nominal-exit comparison to Suzhou city-level and Ningbo/Guangzhou cases.
master_0057,master_case_pool,expand_sd_linyi_chengtou,human_validated,human_validated,Shandong,Linyi,临沂城市建设投资集团有限公司,临沂城市建设投资集团有限公司,9,src_sd_linyi_chengtou_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Shandong prefecture-level nominal-exit case; useful for expanding the inland/coastal comparison outside Jiangsu and Zhejiang.
master_0058,master_case_pool,expand_jx_jian_chengtou,human_validated,human_validated,Jiangxi,Ji'an,吉安市城市建设投资开发有限公司,吉安市城市建设投资开发有限公司,8,src_jx_jian_chengtou_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Jiangxi inland nominal-exit case; useful for low- and middle-capacity comparison with stronger coastal cases.
master_0059,master_case_pool,expand_hen_luoyang_chengxiang,human_validated,human_validated,Henan,Luoyang,洛阳城乡建设投资集团有限公司,洛阳城乡建设投资集团有限公司,12,src_hen_luoyang_chengxiang_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Henan nominal-exit case; useful for expanding the inland validated sample.
master_0060,master_case_pool,expand_js_zhangjiagang_chengtou,human_validated,human_validated,Jiangsu,Zhangjiagang,张家港市城市投资发展集团有限公司,张家港市城市投资发展集团有限公司,9,src_js_zhangjiagang_chengtou_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Zhangjiagang validated case from the June 30 Shanghai Clearing expansion; useful as a high-capacity county-level nominal-exit case.
master_0061,master_case_pool,expand_tj_jinnan_chengtou,human_validated,human_validated,Tianjin,Tianjin Jinnan,天津津南城市建设投资有限公司,天津津南城市建设投资有限公司,11,src_tj_jinnan_chengtou_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Tianjin district validated case; useful for showing persistent platform functions even under explicit marketized-operation language.
master_0062,master_case_pool,expand_ah_luan_chengtou,human_validated,human_validated,Anhui,Lu'an,六安城市建设投资有限公司,六安城市建设投资有限公司,7,src_ah_luan_chengtou_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Anhui validated case; useful as an inland prefecture nominal-exit example with explicit delegated-construction evidence.
master_0063,master_case_pool,expand_js_taizhou_chengtou,human_validated,human_validated,Jiangsu,Taizhou,泰州市城市建设投资集团有限公司,泰州市城市建设投资集团有限公司,7,src_js_taizhou_chengtou_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Jiangsu validated case; useful for distinguishing rhetorical marketization from substantive exit in an upper-tier city platform.
master_0064,master_case_pool,expand_jx_jingdezhen_chengtou,human_validated,human_validated,Jiangxi,Jingdezhen,景德镇市城市建设投资集团有限责任公司,景德镇市城市建设投资集团有限责任公司,7,src_jx_jingdezhen_chengtou_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Jiangxi validated case from the Shanghai Clearing expansion; useful for inland nominal-exit evidence with land-preparation and resettlement functions.
master_0065,master_case_pool,expand_hb_jingmen_chengtou,human_validated,human_validated,Hubei,Jingmen,荆门市城市建设投资有限公司,荆门市城市建设投资有限公司,10,src_hb_jingmen_chengtou_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Hubei validated case; useful as a central-China nominal-exit case with unusually explicit government purchase and affordable-housing repayment evidence.
master_0066,master_case_pool,expand_jx_shangrao_chengtou,human_validated,human_validated,Jiangxi,Shangrao,上饶市城市建设投资开发集团有限公司,上饶市城市建设投资开发集团有限公司,7,src_jx_shangrao_chengtou_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Jiangxi validated case; useful for comparing low- and middle-capacity prefectures where formal compliance coexists with continuing land and infrastructure functions.
master_0067,master_case_pool,expand_js_huaian_touzi,human_validated,human_validated,Jiangsu,Huai'an,淮安市投资控股集团有限公司,淮安市投资控股集团有限公司,8,src_js_huaian_touzi_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Jiangsu validated case; one of the stronger direct formal-exit cases in the expanded sample.
master_0068,master_case_pool,expand_hn_yiyang_jiaotou,human_validated,human_validated,Hunan,Yiyang,益阳市交通投资运营集团有限公司,益阳市交通投资运营集团有限公司,9,src_hn_yiyang_jiaotou_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Hunan validated case; useful for observing how formal transformation to SASAC ownership can coexist with continuing fiscal buyback and delegated construction.
master_0069,master_case_pool,expand_js_xinghua_guotou,human_validated,human_validated,Jiangsu,Xinghua,泰州市兴化国有资产投资控股有限公司,泰州市兴化国有资产投资控股有限公司,9,src_js_xinghua_guotou_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Jiangsu county-level validated case; useful for high-capacity nominal exit outside large prefecture-level city governments.
master_0070,master_case_pool,expand_sc_leshan_guozi,human_validated,human_validated,Sichuan,Leshan,乐山国有资产投资运营(集团)有限公司,乐山国有资产投资运营(集团)有限公司,7,src_sc_leshan_guozi_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Sichuan direct-transfer-out case; useful as a strong nominal-exit example with rich continued-function evidence.
master_0071,master_case_pool,expand_sd_dezhou_deda,human_validated,human_validated,Shandong,Dezhou,德州德达投资控股集团有限公司,德州德达投资控股集团有限公司,7,src_sd_dezhou_deda_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Shandong direct formal-exit case; useful for showing nominal exit even when platform loans were formally rectified.
master_0072,master_case_pool,expand_jx_fuzhou_guozi,human_validated,human_validated,Jiangxi,Fuzhou,抚州市市属国有资产投资控股集团有限公司,抚州市市属国有资产投资控股集团有限公司,7,src_jx_fuzhou_guozi_001,,,,curated,,not_collected,not_collected,gold_standard,,,human_validated,New Jiangxi prefecture-level validated case; useful as a low- to middle-capacity nominal-exit case with unusually detailed government buyback evidence.
harvest_0001,shclearing_harvest_broad,sch_20260630_0001,not_validated,candidate_harvest,,,四川省乡村发展集团有限公司,四川省乡村发展集团有限公司,1,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260630_1817276.html,四川省乡村发展集团有限公司2026年度第一期中期票据发行披露文件,issuance_packet,mtn,low,,not_collected,not_collected,pending,,,not_reviewed,
harvest_0002,shclearing_harvest_broad,sch_20260630_0002,not_validated,candidate_harvest,,,泰州市兴化国有资产投资控股有限公司,泰州市兴化国有资产投资控股有限公司,1,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260630_1817135.html,泰州市兴化国有资产投资控股有限公司2026年度第二期中期票据发行文件,issuance_packet,mtn,medium,,not_collected,not_collected,pending,,,not_reviewed,
harvest_0003,shclearing_harvest_broad,sch_20260630_0003,not_validated,candidate_harvest,,,珠海港控股集团有限公司,珠海港控股集团有限公司,1,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260630_1817249.html,珠海港控股集团有限公司2026年度第四期中期票据发行文件,issuance_packet,mtn,low,,not_collected,not_collected,pending,,,not_reviewed,
harvest_0004,shclearing_harvest_broad,sch_20260630_0004,not_validated,candidate_harvest,,,厦门金圆投资集团有限公司,厦门金圆投资集团有限公司,1,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260630_1817130.html,厦门金圆投资集团有限公司2026年度第二期中期票据发行文件,issuance_packet,mtn,low,,not_collected,not_collected,pending,,,not_reviewed,
harvest_0005,shclearing_harvest_broad,sch_20260630_0005,not_validated,candidate_harvest,,,河北顺德投资集团有限公司,河北顺德投资集团有限公司,1,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260629_1816393.html,河北顺德投资集团有限公司2026年度第二期中期票据发行文件,issuance_packet,mtn,low,,not_collected,not_collected,pending,,,not_reviewed,
harvest_0006,shclearing_harvest_broad,sch_20260630_0006,not_validated,candidate_harvest,,,济南高新控股集团有限公司,济南高新控股集团有限公司,1,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260629_1816208.html,济南高新控股集团有限公司2026年度第四期中期票据发行文件,issuance_packet,mtn,low,,not_collected,not_collected,pending,,,not_reviewed,
harvest_0007,shclearing_harvest_broad,sch_20260630_0007,not_validated,candidate_harvest,,,苏州吴中国太发展有限公司,苏州吴中国太发展有限公司,1,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260629_1816424.html,苏州吴中国太发展有限公司2026年度第三期中期票据发行材料,issuance_packet,mtn,low,,not_collected,not_collected,pending,,,not_reviewed,
harvest_0008,shclearing_harvest_broad,sch_20260630_0008,not_validated,candidate_harvest,,,湖州莫干山国有资本控股集团有限公司,湖州莫干山国有资本控股集团有限公司,1,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260626_1815151.html,湖州莫干山国有资本控股集团有限公司2026年度第四期中期票据发行文件,issuance_packet,mtn,low,,not_collected,not_collected,pending,,,not_reviewed,
harvest_0009,shclearing_harvest_broad,sch_20260630_0009,not_validated,candidate_harvest,,,武汉光谷金融控股集团有限公司,武汉光谷金融控股集团有限公司,1,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260626_1815115.html,武汉光谷金融控股集团有限公司2026年度第六期科技创新债券发行文件,issuance_packet,mtn,low,,not_collected,not_collected,pending,,,not_reviewed,
harvest_0010,shclearing_harvest_broad,sch_20260630_0010,not_validated,candidate_harvest,,,淮安市国有联合投资发展集团有限公司,淮安市国有联合投资发展集团有限公司,1,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260626_1815013.html,淮安市国有联合投资发展集团有限公司2026年度第四期中期票据发行文件,issuance_packet,mtn,low,,not_collected,not_collected,pending,,,not_reviewed,
harvest_0011,shclearing_harvest_broad,sch_20260630_0011,not_validated,candidate_harvest,,,吉安市井冈山开发区金庐陵经济发展有限公司,吉安市井冈山开发区金庐陵经济发展有限公司,1,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260625_1814315.html,吉安市井冈山开发区金庐陵经济发展有限公司2025年度第一期中期票据发行文件补充说明及补...,issuance_packet,mtn,low,,not_collected,not_collected,pending,,,not_reviewed,
harvest_0012,shclearing_harvest_broad,sch_20260630_0012,not_validated,candidate_harvest,,,山东金曰交通发展集团有限公司,山东金曰交通发展集团有限公司,1,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260625_1814165.html,山东金曰交通发展集团有限公司2026年度第一期中期票据发行文件,issuance_packet,mtn,low,,not_collected,not_collected,pending,,,not_reviewed,
harvest_0013,shclearing_harvest_broad,sch_20260630_0013,not_validated,candidate_harvest,,,嘉兴科技城投资发展集团有限公司,嘉兴科技城投资发展集团有限公司,1,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260625_1814128.html,嘉兴科技城投资发展集团有限公司2026年度第二期中期票据发行文件,issuance_packet,mtn,low,,not_collected,not_collected,pending,,,not_reviewed,
harvest_0014,shclearing_harvest_broad,sch_20260630_0014,not_validated,candidate_harvest,,,河南航空港投资集团有限公司,河南航空港投资集团有限公司,1,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260625_1814122.html,河南航空港投资集团有限公司2026年度第三期中期票据发行文件,issuance_packet,mtn,low,,not_collected,not_collected,pending,,,not_reviewed,
harvest_0015,shclearing_harvest_broad,sch_20260630_0015,not_validated,candidate_harvest,,,徐州经济技术开发区国有资产经营有限责任公司,徐州经济技术开发区国有资产经营有限责任公司,1,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260625_1814104.html,徐州经济技术开发区国有资产经营有限责任公司2026年度第五期中期票据发行文件,issuance_packet,mtn,low,,not_collected,not_collected,pending,,,not_reviewed,
