analytic_id,analytic_role,issuer_name,province,city,source_row_ids,observed_or_surrogate_label,label_source,gold_standard_overlap,gold_case_id,gold_final_label,surrogate_rows,source_coverage_score,continued_function_evidence_score,confidence,include_in_adjusted_descriptive_sample,notes
gold_0011,gold_outcome,盐城市城市资产投资集团有限公司,Jiangsu,Yancheng,pilot_js_003,nominal_exit,human_gold_standard,true,pilot_js_003,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0012,gold_outcome,佛山市建设发展集团有限公司,Guangdong,Foshan,pilot_gd_003,functional_transfer,human_gold_standard,true,pilot_gd_003,functional_transfer,,4,,medium,true,Human-validated gold-standard outcome.
gold_0013,gold_outcome,苏州城市建设投资发展集团有限公司,Jiangsu,Suzhou,pilot_js_002,nominal_exit,human_gold_standard,true,pilot_js_002,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0014,gold_outcome,青岛城市建设投资(集团)有限责任公司,Shandong,Qingdao,pilot_sd_002,nominal_exit,human_gold_standard,true,pilot_sd_002,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0015,gold_outcome,泸州市兴泸投资集团有限公司,Sichuan,Luzhou,pilot_sc_003,nominal_exit,human_gold_standard,true,pilot_sc_003,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0016,gold_outcome,济南城市建设集团有限公司,Shandong,Jinan,expand_sd_jinan_chengjian,nominal_exit,human_gold_standard,true,expand_sd_jinan_chengjian,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0017,gold_outcome,福州城市建设投资集团有限公司,Fujian,Fuzhou,expand_fj_fuzhou_chengtou,functional_transfer,human_gold_standard,true,expand_fj_fuzhou_chengtou,functional_transfer,,4,,medium,true,Human-validated gold-standard outcome.
gold_0018,gold_outcome,乌鲁木齐城市建设投资(集团)有限公司,Xinjiang,Urumqi,expand_xj_urumqi_chengtou,nominal_exit,human_gold_standard,true,expand_xj_urumqi_chengtou,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0019,gold_outcome,余姚市城市建设投资发展有限公司,Zhejiang,Yuyao,expand_zj_yuyao_chengtou,nominal_exit,human_gold_standard,true,expand_zj_yuyao_chengtou,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0020,gold_outcome,泰州市金东城市建设投资集团有限公司,Jiangsu,Taizhou,expand_js_taizhou_jindong,functional_transfer,human_gold_standard,true,expand_js_taizhou_jindong,functional_transfer,,4,,medium,true,Human-validated gold-standard outcome.
gold_0021,gold_outcome,哈尔滨市城市建设投资集团有限公司,Heilongjiang,Harbin,expand_hlj_harbin_chengtou,nominal_exit,human_gold_standard,true,expand_hlj_harbin_chengtou,nominal_exit,,4,,high,true,Human-validated gold-standard outcome.
gold_0022,gold_outcome,孝感市城市建设投资公司,Hubei,Xiaogan,expand_hb_xiaogan_chengtou,functional_transfer,human_gold_standard,true,expand_hb_xiaogan_chengtou,functional_transfer,,4,,medium,true,Human-validated gold-standard outcome.
gold_0023,gold_outcome,天津市静海城市基础设施建设投资集团有限公司,Tianjin,Jinghai,expand_tj_jinghai_chengtou,nominal_exit,human_gold_standard,true,expand_tj_jinghai_chengtou,nominal_exit,,4,,high,true,Human-validated gold-standard outcome.
gold_0024,gold_outcome,赣州市章贡区建设投资集团有限公司,Jiangxi,Ganzhou Zhanggong,expand_jx_zhanggong_jiantou,nominal_exit,human_gold_standard,true,expand_jx_zhanggong_jiantou,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0025,gold_outcome,温岭市国有资产投资集团有限公司,Zhejiang,Wenling,expand_zj_wenling_guotou,functional_transfer,human_gold_standard,true,expand_zj_wenling_guotou,functional_transfer,,3,,medium,true,Human-validated gold-standard outcome.
gold_0026,gold_outcome,宜兴市城市发展投资有限公司,Jiangsu,Yixing,expand_js_yixing_chengfa,functional_transfer,human_gold_standard,true,expand_js_yixing_chengfa,functional_transfer,,3,,medium,true,Human-validated gold-standard outcome.
gold_0027,gold_outcome,福州国有资本投资运营集团有限公司,Fujian,Fuzhou,expand_fj_fuzhou_guozi,functional_transfer,human_gold_standard,true,expand_fj_fuzhou_guozi,functional_transfer,,4,,medium,true,Human-validated gold-standard outcome.
gold_0028,gold_outcome,镇江产业投资控股集团有限公司,Jiangsu,Zhenjiang,expand_js_zhenjiang_industry,nominal_exit,human_gold_standard,true,expand_js_zhenjiang_industry,nominal_exit,,3,,medium,true,Human-validated gold-standard outcome.
gold_0029,gold_outcome,南京江宁国有资产经营集团有限公司,Jiangsu,Nanjing Jiangning,expand_js_jiangning_guozi,nominal_exit,human_gold_standard,true,expand_js_jiangning_guozi,nominal_exit,,4,,high,true,Human-validated gold-standard outcome.
gold_0030,gold_outcome,常熟市投资控股集团有限公司,Jiangsu,Changshu,expand_js_changshu_invest,functional_transfer,human_gold_standard,true,expand_js_changshu_invest,functional_transfer,,3,,medium,true,Human-validated gold-standard outcome.
gold_0031,gold_outcome,宿州市城市建设投资集团(控股)有限公司,Anhui,Suzhou,expand_ah_suzhou_chengtou,nominal_exit,human_gold_standard,true,expand_ah_suzhou_chengtou,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0032,gold_outcome,黄石市城市发展投资集团有限公司,Hubei,Huangshi,expand_hb_huangshi_chengfa,nominal_exit,human_gold_standard,true,expand_hb_huangshi_chengfa,nominal_exit,,3,,medium,true,Human-validated gold-standard outcome.
gold_0033,gold_outcome,盐城市城南新区开发建设投资有限公司,Jiangsu,Yancheng,expand_js_yancheng_chengnan,nominal_exit,human_gold_standard,true,expand_js_yancheng_chengnan,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0034,gold_outcome,苏州市相城城市建设投资(集团)有限公司,Jiangsu,Suzhou Xiangcheng,expand_js_suzhou_xiangcheng,nominal_exit,human_gold_standard,true,expand_js_suzhou_xiangcheng,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0035,gold_outcome,临沂城市建设投资集团有限公司,Shandong,Linyi,expand_sd_linyi_chengtou,nominal_exit,human_gold_standard,true,expand_sd_linyi_chengtou,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0036,gold_outcome,吉安市城市建设投资开发有限公司,Jiangxi,Ji'an,expand_jx_jian_chengtou,nominal_exit,human_gold_standard,true,expand_jx_jian_chengtou,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0037,gold_outcome,洛阳城乡建设投资集团有限公司,Henan,Luoyang,expand_hen_luoyang_chengxiang,nominal_exit,human_gold_standard,true,expand_hen_luoyang_chengxiang,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0038,gold_outcome,张家港市城市投资发展集团有限公司,Jiangsu,Zhangjiagang,expand_js_zhangjiagang_chengtou,nominal_exit,human_gold_standard,true,expand_js_zhangjiagang_chengtou,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0039,gold_outcome,天津津南城市建设投资有限公司,Tianjin,Tianjin Jinnan,expand_tj_jinnan_chengtou,nominal_exit,human_gold_standard,true,expand_tj_jinnan_chengtou,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0040,gold_outcome,六安城市建设投资有限公司,Anhui,Lu'an,expand_ah_luan_chengtou,nominal_exit,human_gold_standard,true,expand_ah_luan_chengtou,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0041,gold_outcome,泰州市城市建设投资集团有限公司,Jiangsu,Taizhou,expand_js_taizhou_chengtou,nominal_exit,human_gold_standard,true,expand_js_taizhou_chengtou,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0042,gold_outcome,景德镇市城市建设投资集团有限责任公司,Jiangxi,Jingdezhen,expand_jx_jingdezhen_chengtou,nominal_exit,human_gold_standard,true,expand_jx_jingdezhen_chengtou,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0043,gold_outcome,荆门市城市建设投资有限公司,Hubei,Jingmen,expand_hb_jingmen_chengtou,nominal_exit,human_gold_standard,true,expand_hb_jingmen_chengtou,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0044,gold_outcome,上饶市城市建设投资开发集团有限公司,Jiangxi,Shangrao,expand_jx_shangrao_chengtou,nominal_exit,human_gold_standard,true,expand_jx_shangrao_chengtou,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0045,gold_outcome,淮安市投资控股集团有限公司,Jiangsu,Huai'an,expand_js_huaian_touzi,nominal_exit,human_gold_standard,true,expand_js_huaian_touzi,nominal_exit,,4,,high,true,Human-validated gold-standard outcome.
gold_0046,gold_outcome,益阳市交通投资运营集团有限公司,Hunan,Yiyang,expand_hn_yiyang_jiaotou,nominal_exit,human_gold_standard,true,expand_hn_yiyang_jiaotou,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0047,gold_outcome,泰州市兴化国有资产投资控股有限公司,Jiangsu,Xinghua,expand_js_xinghua_guotou,nominal_exit,human_gold_standard,true,expand_js_xinghua_guotou,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0048,gold_outcome,乐山国有资产投资运营(集团)有限公司,Sichuan,Leshan,expand_sc_leshan_guozi,nominal_exit,human_gold_standard,true,expand_sc_leshan_guozi,nominal_exit,,4,,high,true,Human-validated gold-standard outcome.
gold_0049,gold_outcome,德州德达投资控股集团有限公司,Shandong,Dezhou,expand_sd_dezhou_deda,nominal_exit,human_gold_standard,true,expand_sd_dezhou_deda,nominal_exit,,4,,high,true,Human-validated gold-standard outcome.
gold_0050,gold_outcome,抚州市市属国有资产投资控股集团有限公司,Jiangxi,Fuzhou,expand_jx_fuzhou_guozi,nominal_exit,human_gold_standard,true,expand_jx_fuzhou_guozi,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0051,gold_outcome,昆明市交通投资集团有限责任公司,Yunnan,Kunming,sch_20260630_0155,nominal_exit,human_gold_standard,true,sch_20260630_0155,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0052,gold_outcome,伊犁州国有资产投资经营有限责任公司,Xinjiang,Yili,sch_20260630_0117,nominal_exit,human_gold_standard,true,sch_20260630_0117,nominal_exit,,4,,high,true,Human-validated gold-standard outcome.
gold_0053,gold_outcome,建安投资控股集团有限公司,Anhui,Bozhou,sch_20260630_0027,nominal_exit,human_gold_standard,true,sch_20260630_0027,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0054,gold_outcome,上饶创新发展产业投资集团有限公司,Jiangxi,Shangrao,sch_20260630_0055,nominal_exit,human_gold_standard,true,sch_20260630_0055,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0055,gold_outcome,石家庄市交通投资开发有限公司,Hebei,Shijiazhuang,sch_20260630_0151,nominal_exit,human_gold_standard,true,sch_20260630_0151,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0056,gold_outcome,南京市交通建设投资控股(集团)有限责任公司,Jiangsu,Nanjing,sch_20260630_0052,nominal_exit,human_gold_standard,true,sch_20260630_0052,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0057,gold_outcome,江苏腾海投资控股集团有限公司,Jiangsu,Haian,sch_20260630_0019,nominal_exit,human_gold_standard,true,sch_20260630_0019,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0058,gold_outcome,江苏高淳国际慢城文化旅游产业投资集团有限公司,Jiangsu,Gaochun,sch_20260630_0142,nominal_exit,human_gold_standard,true,sch_20260630_0142,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0059,gold_outcome,嘉兴市嘉秀发展投资控股集团有限公司,Zhejiang,Jiaxing,sch_20260630_0068,nominal_exit,human_gold_standard,true,sch_20260630_0068,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0060,gold_outcome,南宁城市建设投资集团有限责任公司,Guangxi,Nanning,expand_gx_nanning_chengtou,nominal_exit,human_gold_standard,true,expand_gx_nanning_chengtou,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0061,gold_outcome,广州地铁集团有限公司,Guangdong,Guangzhou,pilot_gd_001_alt_metro,nominal_exit,human_gold_standard,true,pilot_gd_001_alt_metro,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0062,gold_outcome,南京地铁集团有限公司,Jiangsu,Nanjing,pilot_js_001_alt_metro,nominal_exit,human_gold_standard,true,pilot_js_001_alt_metro,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0063,gold_outcome,嘉善县高新科技园区建设投资有限公司,Zhejiang,Jiashan,sch_20260630_0035,nominal_exit,human_gold_standard,true,sch_20260630_0035,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0064,gold_outcome,徐州经济技术开发区国有资产经营有限责任公司,Jiangsu,Xuzhou,sch_20260630_0015,nominal_exit,human_gold_standard,true,sch_20260630_0015,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0065,gold_outcome,江阴高新区投资开发有限公司,Jiangsu,Jiangyin,sch_20260630_0029,nominal_exit,human_gold_standard,true,sch_20260630_0029,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0066,gold_outcome,溧阳市城市建设发展集团有限公司,Jiangsu,Liyang,sch_20260630_0047,nominal_exit,human_gold_standard,true,sch_20260630_0047,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0067,gold_outcome,北京未来科学城发展集团有限公司,Beijing,Beijing,sch_20260630_0051,nominal_exit,human_gold_standard,true,sch_20260630_0051,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0068,gold_outcome,新疆城建(集团)股份有限公司,Xinjiang,Urumqi,sch_20260630_0056,nominal_exit,human_gold_standard,true,sch_20260630_0056,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0069,gold_outcome,河北顺德投资集团有限公司,Hebei,Xingtai,sch_20260630_0005,nominal_exit,human_gold_standard,true,sch_20260630_0005,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0070,gold_outcome,常州市交通产业集团有限公司,Jiangsu,Changzhou,sch_20260630_0048,nominal_exit,human_gold_standard,true,sch_20260630_0048,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0071,gold_outcome,徐州市交通控股集团有限公司,Jiangsu,Xuzhou,sch_20260630_0046,nominal_exit,human_gold_standard,true,sch_20260630_0046,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0072,gold_outcome,河南航空港投资集团有限公司,Henan,Zhengzhou,sch_20260630_0014,nominal_exit,human_gold_standard,true,sch_20260630_0014,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0073,gold_outcome,泰兴市中兴国有资产经营投资集团有限公司,Jiangsu,Taixing,sch_20260630_0021,nominal_exit,human_gold_standard,true,sch_20260630_0021,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0074,gold_outcome,丹阳投资集团有限公司,Jiangsu,Danyang,sch_20260630_0044,nominal_exit,human_gold_standard,true,sch_20260630_0044,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0075,gold_outcome,济南高新控股集团有限公司,Shandong,Jinan,sch_20260630_0006,nominal_exit,human_gold_standard,true,sch_20260630_0006,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0076,gold_outcome,苏州吴中国太发展有限公司,Jiangsu,Suzhou,sch_20260630_0007,nominal_exit,human_gold_standard,true,sch_20260630_0007,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0077,gold_outcome,亳州城建发展控股集团有限公司,Anhui,Bozhou,sch_20260630_0032,nominal_exit,human_gold_standard,true,sch_20260630_0032,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0078,gold_outcome,常州天宁建设发展集团有限公司,Jiangsu,Changzhou,sch_20260630_0057,nominal_exit,human_gold_standard,true,sch_20260630_0057,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0079,gold_outcome,绍兴滨海新区控股集团有限公司,Zhejiang,Shaoxing,sch_20260630_0033,nominal_exit,human_gold_standard,true,sch_20260630_0033,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0080,gold_outcome,黄石市东楚投资集团有限公司,Hubei,Huangshi,sch_20260630_0054,nominal_exit,human_gold_standard,true,sch_20260630_0054,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0081,gold_outcome,寿光市金旭产业发展集团有限公司,Shandong,Shouguang,sch_20260630_0028,nominal_exit,human_gold_standard,true,sch_20260630_0028,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0082,gold_outcome,浙江安吉国控建设发展集团有限公司,Zhejiang,Anji,sch_20260630_0017,nominal_exit,human_gold_standard,true,sch_20260630_0017,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0083,gold_outcome,嘉兴科技城投资发展集团有限公司,Zhejiang,Jiaxing,sch_20260630_0013,nominal_exit,human_gold_standard,true,sch_20260630_0013,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0084,gold_outcome,知识城(广州)投资集团有限公司,Guangdong,Guangzhou,sch_20260630_0025,nominal_exit,human_gold_standard,true,sch_20260630_0025,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0085,gold_outcome,湖州莫干山国有资本控股集团有限公司,Zhejiang,Huzhou,sch_20260630_0008,nominal_exit,human_gold_standard,true,sch_20260630_0008,nominal_exit,,3,,medium,true,Human-validated gold-standard outcome.
gold_0086,gold_outcome,海安开发区建设投资有限公司,Jiangsu,Nantong,sch_20260630_0137,nominal_exit,human_gold_standard,true,sch_20260630_0137,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0087,gold_outcome,常州滨湖建设发展集团有限公司,Jiangsu,Changzhou,sch_20260630_0069,nominal_exit,human_gold_standard,true,sch_20260630_0069,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0088,gold_outcome,晋中市公用基础设施投资控股(集团)有限公司,Shanxi,Jinzhong,exp_20260703_0008,nominal_exit,human_gold_standard,true,exp_20260703_0008,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0089,gold_outcome,南京江北新城投资发展有限公司,Jiangsu,Nanjing,exp2_20260703_0009,nominal_exit,human_gold_standard,true,exp2_20260703_0009,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0090,gold_outcome,日照城投集团有限公司,Shandong,Rizhao,sch_20260630_0132,nominal_exit,human_gold_standard,true,sch_20260630_0132,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0091,gold_outcome,青岛上合控股发展集团有限公司,Shandong,Qingdao,sch_20260630_0175,nominal_exit,human_gold_standard,true,sch_20260630_0175,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0092,gold_outcome,如东县东泰社会发展投资有限责任公司,Jiangsu,Nantong,sch_20260630_0073,nominal_exit,human_gold_standard,true,sch_20260630_0073,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0093,gold_outcome,蚌埠市城市投资控股有限公司,Anhui,Bengbu,exp_20260703_0001,nominal_exit,human_gold_standard,true,exp_20260703_0001,nominal_exit,,3,,medium,true,Human-validated gold-standard outcome.
gold_0094,gold_outcome,许昌市城投发展集团有限公司,Henan,Xuchang,exp2_20260703_0001,nominal_exit,human_gold_standard,true,exp2_20260703_0001,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
surrogate_auxiliary_nonoverlap_0001,surrogate_auxiliary_nonoverlap,上海静安置业(集团)有限公司,,,exp9_20260704_0183,nominal_exit,codex_surrogate,false,,,1,3,3,medium,true,Non-overlap issuer-level surrogate used only for validation-adjusted descriptive counts.
surrogate_overlap_check_0001,surrogate_overlap_check,上饶创新发展产业投资集团有限公司,,,sch_20260630_0055,nominal_exit,codex_surrogate,true,sch_20260630_0055,nominal_exit,1,3,3,medium,false,Issuer-level surrogate that overlaps a gold-standard case; retained only as a validation check.
surrogate_overlap_check_0002,surrogate_overlap_check,上饶市城市建设投资开发集团有限公司,,,sch_20260630_0136,nominal_exit,codex_surrogate,true,expand_jx_shangrao_chengtou,nominal_exit,1,3,2,medium,false,Issuer-level surrogate that overlaps a gold-standard case; retained only as a validation check.
surrogate_auxiliary_nonoverlap_0002,surrogate_auxiliary_nonoverlap,中煤矿山建设集团有限责任公司,,,sch_20260630_0061,nominal_exit,codex_surrogate,false,,,1,3,2,medium,true,Non-overlap issuer-level surrogate used only for validation-adjusted descriptive counts.
surrogate_overlap_check_0003,surrogate_overlap_check,临沂城市建设投资集团有限公司,,,sch_20260630_0115; sch_20260630_0154,nominal_exit,codex_surrogate,true,expand_sd_linyi_chengtou,nominal_exit,2,3,3,medium,false,Issuer-level surrogate that overlaps a gold-standard case; retained only as a validation check.
surrogate_overlap_check_0004,surrogate_overlap_check,丹阳投资集团有限公司,,,sch_20260630_0044,nominal_exit,codex_surrogate,true,sch_20260630_0044,nominal_exit,1,3,2,medium,false,Issuer-level surrogate that overlaps a gold-standard case; retained only as a validation check.
surrogate_auxiliary_nonoverlap_0003,surrogate_auxiliary_nonoverlap,义乌中国小商品城控股集团有限公司,,,sch_20260630_0078,nominal_exit,codex_surrogate,false,,,1,3,2,medium,true,Non-overlap issuer-level surrogate used only for validation-adjusted descriptive counts.
surrogate_auxiliary_nonoverlap_0004,surrogate_auxiliary_nonoverlap,乌鲁木齐交通旅游投资(集团)有限公司,,,sch_20260630_0127,nominal_exit,codex_surrogate,false,,,1,3,3,medium,true,Non-overlap issuer-level surrogate used only for validation-adjusted descriptive counts.
surrogate_overlap_check_0005,surrogate_overlap_check,乐山国有资产投资运营(集团)有限公司,,,sch_20260630_0082; sch_20260630_0147,nominal_exit,codex_surrogate,true,expand_sc_leshan_guozi,nominal_exit,2,3,2,medium,false,Issuer-level surrogate that overlaps a gold-standard case; retained only as a validation check.
surrogate_overlap_check_0006,surrogate_overlap_check,亳州城建发展控股集团有限公司,,,sch_20260630_0032; sch_20260630_0152,nominal_exit,codex_surrogate,true,sch_20260630_0032,nominal_exit,2,3,3,medium,false,Issuer-level surrogate that overlaps a gold-standard case; retained only as a validation check.
surrogate_auxiliary_nonoverlap_0005,surrogate_auxiliary_nonoverlap,伊犁哈萨克自治州财通国有资产经营有限责任公司,,,exp4_20260703_0013,nominal_exit,codex_surrogate,false,,,1,3,2,medium,true,Non-overlap issuer-level surrogate used only for validation-adjusted descriptive counts.
surrogate_overlap_check_0007,surrogate_overlap_check,伊犁州国有资产投资经营有限责任公司,,,sch_20260630_0117; sch_20260630_0169,nominal_exit,codex_surrogate,true,sch_20260630_0117,nominal_exit,2,3,3,medium,false,Issuer-level surrogate that overlaps a gold-standard case; retained only as a validation check.
surrogate_overlap_check_0008,surrogate_overlap_check,六安城市建设投资有限公司,,,sch_20260630_0090,nominal_exit,codex_surrogate,true,expand_ah_luan_chengtou,nominal_exit,1,3,3,medium,false,Issuer-level surrogate that overlaps a gold-standard case; retained only as a validation check.
surrogate_auxiliary_nonoverlap_0006,surrogate_auxiliary_nonoverlap,北京亦庄国际投资发展有限公司,,,exp2_20260703_0022; exp2_20260703_0023,nominal_exit,codex_surrogate,false,,,2,3,3,medium,true,Non-overlap issuer-level surrogate used only for validation-adjusted descriptive counts.
surrogate_auxiliary_nonoverlap_0007,surrogate_auxiliary_nonoverlap,北京市海淀区国有资本运营有限公司,,,exp_20260703_0015; exp_20260703_0018,nominal_exit,codex_surrogate,false,,,2,3,2,medium,true,Non-overlap issuer-level surrogate used only for validation-adjusted descriptive counts.
surrogate_overlap_check_0009,surrogate_overlap_check,北京未来科学城发展集团有限公司,,,sch_20260630_0051,nominal_exit,codex_surrogate,true,sch_20260630_0051,nominal_exit,1,3,3,medium,false,Issuer-level surrogate that overlaps a gold-standard case; retained only as a validation check.
surrogate_auxiliary_nonoverlap_0008,surrogate_auxiliary_nonoverlap,北京电子控股有限责任公司,,,exp9_20260704_0193,nominal_exit,codex_surrogate,false,,,1,3,2,medium,true,Non-overlap issuer-level surrogate used only for validation-adjusted descriptive counts.
surrogate_overlap_check_0010,surrogate_overlap_check,南京市交通建设投资控股(集团)有限责任公司,,,sch_20260630_0052,nominal_exit,codex_surrogate,true,sch_20260630_0052,nominal_exit,1,3,2,medium,false,Issuer-level surrogate that overlaps a gold-standard case; retained only as a validation check.
surrogate_overlap_check_0011,surrogate_overlap_check,南京江北新城投资发展有限公司,,,exp2_20260703_0009; exp2_20260703_0010,nominal_exit,codex_surrogate,true,exp2_20260703_0009,nominal_exit,2,3,3,medium,false,Issuer-level surrogate that overlaps a gold-standard case; retained only as a validation check.
surrogate_auxiliary_nonoverlap_0009,surrogate_auxiliary_nonoverlap,南京江宁交通建设集团有限公司,,,sch_20260630_0144,nominal_exit,codex_surrogate,false,,,1,3,2,medium,true,Non-overlap issuer-level surrogate used only for validation-adjusted descriptive counts.
surrogate_auxiliary_nonoverlap_0010,surrogate_auxiliary_nonoverlap,南京江宁科学园发展集团有限公司,,,sch_20260630_0075,nominal_exit,codex_surrogate,false,,,1,3,2,medium,true,Non-overlap issuer-level surrogate used only for validation-adjusted descriptive counts.
