sequence,validation_unit_id,issuer_name,province,city,geography_status,administrative_level,owner_level,scope_disposition,scope_reason_code,audit_note
108,mv_a48e56f0f316,福州市城乡建总集团有限公司,福建省,福州市,source_supported_unique,prefecture,subprovincial_public,eligible,local_public_platform_role,The city controller and issuer urban and rural infrastructure investment and construction role satisfy both scope elements.
109,mv_ea3d4bb7e80e,苏州市相城市政建设投资(集团)有限公司,江苏省,苏州市,source_supported_unique,district,subprovincial_public,eligible,local_public_platform_role,The district controller and issuer municipal infrastructure investment and construction role satisfy both scope elements.
110,mv_1d97639f04bd,苏州市轨道交通集团有限公司,江苏省,苏州市,source_supported_unique,prefecture,subprovincial_public,eligible,local_public_platform_role,The city controller and issuer rail-transit investment financing construction and operation role satisfy both scope elements.
111,mv_ac8f4189135f,苏州苏高新集团有限公司,江苏省,苏州市,source_supported_unique,development_zone,subprovincial_public,eligible,local_public_platform_role,The high-tech-zone controller and issuer infrastructure land-development and financing role satisfy both scope elements.
112,mv_bce7a88198f3,荆门高新技术产业开发有限责任公司,湖北省,荆门市,source_supported_unique,development_zone,subprovincial_public,eligible,local_public_platform_role,The development-zone controller and issuer park infrastructure and development role satisfy both scope elements.
113,mv_02c9115b037c,西宁城市发展有限公司,青海省,西宁市,source_supported_unique,prefecture,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The city owner is documented but the issuer is an industrial investment and operating company and the disclosure expressly states that it does not conduct infrastructure-construction business.
114,mv_b14a65482fac,西部(重庆)科学城江津园区开发建设集团有限公司,重庆市,重庆市,source_supported_unique,development_zone,subprovincial_public,eligible,local_public_platform_role,The district development-zone controller and issuer park infrastructure and construction role satisfy both scope elements.
115,mv_349e0a09a9ca,贵州高速公路集团有限公司,贵州省,贵阳市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled expressway group without a city-platform ownership tie.
116,mv_dd84e076bf32,贵阳市交通运营集团有限公司,,,unresolved_after_search,unresolved,unknown,unresolved_after_search,unresolved_legal_identity,Authoritative current sources use a different legal name and the frozen packet does not establish that the frame name identifies the same legal issuer.
117,mv_32559fdf4bd7,贵阳市城市发展投资集团股份有限公司,贵州省,贵阳市,source_supported_unique,prefecture,unknown,unresolved_after_search,unresolved_owner_level,Government transport records establish the issuer and its public-project role but do not establish the controlling owner level.
118,mv_35577ffe2ec5,遵义道桥建设集团有限公司,贵州省,遵义市,source_supported_unique,prefecture,subprovincial_public,eligible,local_public_platform_role,The city-linked issuer disclosure documents infrastructure land-development and financing functions.
119,mv_bbe1de049afe,重庆市永川区惠通建设发展有限公司,重庆市,重庆市,source_supported_unique,district,subprovincial_public,eligible,local_public_platform_role,The district controller and issuer infrastructure investment and construction role satisfy both scope elements.
120,mv_339f72153d34,重庆市江津区滨江新城开发建设集团有限公司,重庆市,重庆市,source_supported_unique,district,subprovincial_public,eligible,local_public_platform_role,The district controller and issuer new-city infrastructure and development role satisfy both scope elements.
121,mv_159990d28253,重庆市江津区珞璜开发建设有限公司,重庆市,重庆市,source_supported_unique,development_zone,subprovincial_public,eligible,local_public_platform_role,The district development-zone controller and issuer park infrastructure and construction role satisfy both scope elements.
122,mv_f28cc439afa7,镇江文化广电产业集团有限公司,江苏省,镇江市,source_supported_unique,prefecture,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The city owner is documented but the issuer is a cultural and broadcasting operator without a platform-like public-project role.
123,mv_fdbd697a93bc,镇江文化旅游产业集团有限责任公司,江苏省,镇江市,source_supported_unique,prefecture,subprovincial_public,eligible,local_public_platform_role,The city controller and issuer land water-area and urban infrastructure investment and development role satisfy both scope elements.
124,mv_18c49cc8c4cc,长沙天心城市发展集团有限公司,湖南省,长沙市,source_supported_unique,district,subprovincial_public,eligible,local_public_platform_role,The district controller and issuer land urban-renewal and municipal-project role satisfy both scope elements.
125,mv_3425e0da3953,陕西交通控股集团有限公司,陕西省,西安市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled transport financing and construction body without a city-platform ownership tie.
126,mv_f442cd327364,陕西建工控股集团有限公司,陕西省,西安市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled construction group rather than a city platform.
127,mv_2b1017e1ef59,陕西有色金属控股集团有限责任公司,陕西省,西安市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled metals group without a city-platform ownership tie.
128,mv_46a8889cdc37,青岛国信发展(集团)有限责任公司,山东省,青岛市,source_supported_unique,prefecture,subprovincial_public,eligible,local_public_platform_role,The city controller and issuer major public-infrastructure investment and development role satisfy both scope elements.
129,mv_337e721d68ed,青岛胶州湾发展集团有限公司,山东省,青岛市,source_supported_unique,development_zone,subprovincial_public,eligible,local_public_platform_role,The local development-zone controller and issuer infrastructure land-development and construction role satisfy both scope elements.
130,mv_707d013abcbe,青海省国有资产投资管理有限公司,青海省,西宁市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled state-capital operator without a city-platform ownership tie.
131,mv_7720bd7c9489,青海省能源发展(集团)有限责任公司,青海省,西宁市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled coal and energy group without a city-platform ownership tie.
