case_id,province,city,company_name,final_label,final_confidence,source_coverage_score,primary_reference_count,secondary_reference_count,supplementary_reference_count,all_identifiers_resolved,all_evidence_files_local,some_evidence_file_local,all_documents_have_recovery_url,dedicated_evidence_memo_found,resolved_local_document_count,resolved_url_document_count,missing_document_ids,missing_source_ids,missing_local_document_ids,document_types,evidence_memo_paths
sch_20260630_0007,Jiangsu,Suzhou,苏州吴中国太发展有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,no,2,2,,,,issuance_disclosure_document;prospectus,
sch_20260630_0032,Anhui,Bozhou,亳州城建发展控股集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,no,2,2,,,,legal_opinion,
sch_20260630_0057,Jiangsu,Changzhou,常州天宁建设发展集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,no,2,2,,,,prospectus,
sch_20260630_0033,Zhejiang,Shaoxing,绍兴滨海新区控股集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,no,2,2,,,,prospectus,
sch_20260630_0054,Hubei,Huangshi,黄石市东楚投资集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,no,2,2,,,,issuance_disclosure_document;prospectus,
sch_20260630_0028,Shandong,Shouguang,寿光市金旭产业发展集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,no,2,2,,,,legal_opinion,
sch_20260630_0017,Zhejiang,Anji,浙江安吉国控建设发展集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,no,2,2,,,,legal_opinion;prospectus,
sch_20260630_0013,Zhejiang,Jiaxing,嘉兴科技城投资发展集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,no,2,2,,,,prospectus,
sch_20260630_0025,Guangdong,Guangzhou,知识城(广州)投资集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,no,2,2,,,,prospectus;rating_report,
sch_20260630_0008,Zhejiang,Huzhou,湖州莫干山国有资本控股集团有限公司,nominal_exit,medium,3,1,1,1,yes,yes,yes,yes,no,2,2,,,,prospectus,
sch_20260630_0137,Jiangsu,Nantong,海安开发区建设投资有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,no,2,2,,,,prospectus,
sch_20260630_0069,Jiangsu,Changzhou,常州滨湖建设发展集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,no,2,2,,,,prospectus,
exp_20260703_0008,Shanxi,Jinzhong,晋中市公用基础设施投资控股(集团)有限公司,nominal_exit,medium,4,1,2,1,yes,yes,yes,yes,no,3,3,,,,legal_opinion;prospectus,
exp2_20260703_0009,Jiangsu,Nanjing,南京江北新城投资发展有限公司,nominal_exit,medium,4,1,2,1,yes,yes,yes,yes,no,3,3,,,,legal_opinion;prospectus,
sch_20260630_0132,Shandong,Rizhao,日照城投集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,no,2,2,,,,issuance_disclosure_document;prospectus,
sch_20260630_0175,Shandong,Qingdao,青岛上合控股发展集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,no,2,2,,,,prospectus,
sch_20260630_0073,Jiangsu,Nantong,如东县东泰社会发展投资有限责任公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,no,2,2,,,,issuance_disclosure_document;prospectus,
exp_20260703_0001,Anhui,Bengbu,蚌埠市城市投资控股有限公司,nominal_exit,medium,3,1,1,1,yes,yes,yes,yes,no,2,2,,,,issuance_disclosure_document;prospectus,
exp2_20260703_0001,Henan,Xuchang,许昌市城投发展集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,no,2,2,,,,prospectus,
