source_id,title,authors,year,venue,doi_or_url,source_type,search_query,screened_at,fulltext_checked,method,population,key_finding,limitations,relevance,claim_ids,verification_status,notes_path
LTH-CAP-04,"The Development of Local Government Financial Vehicles in China: A Case Study of Jiaxing Chengtou","Feng; Wu; Zhang",2022,Land Use Policy,https://doi.org/10.1016/j.landusepol.2020.104793,peer_reviewed,"LGFV-01 plus targeted title search",2026-08-30,true,"longitudinal case study","Jiaxing Chengtou","Monitoring-list exit coexisted with continuing public ownership, functions, and later regrouping.","One disclosure-rich case.",lgfv_measurement,"C-007;C-008",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
LTH-CAP-05,"The Financial Value of the Within-Government Political Network: Evidence from Chinese Municipal Corporate Bonds","Choi; Lu; Park; Sohn",2022,Finance Research Letters,https://doi.org/10.1016/j.frl.2021.102552,peer_reviewed,"DEBT-03 plus targeted title search",2026-08-30,true,"bond panel analysis","1552 bonds from 217 Chinese municipalities","Government ties predict lower issuance spreads and can sustain implicit-guarantee perceptions.","Residual endogeneity; prices are not administrative implementation.",mechanisms,"C-008",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
LTH-CAP-06,"Long Live Keju! The Persistent Effects of China's Civil Examination System","Chen; Kung; Ma",2020,Economic Journal,https://doi.org/10.1093/ej/ueaa043,peer_reviewed,"targeted historical-capacity search",2026-08-30,true,"historical persistence analysis","Chinese prefectures","Jinshi density predicts schooling through education, culture, and social capital; Communist-era political-elite continuity is absent.","Outcome is human capital, not LGFV reform.",historical_capacity,"C-008",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
LTH-COMP-01,"From Smoke and Mirrors to Walking the Talk: Decoupling in the Contemporary World","Bromley; Powell",2012,Academy of Management Annals,https://doi.org/10.1080/19416520.2012.684462,peer_reviewed,"COMP-01 plus targeted title search",2026-08-30,true,"conceptual review","organizations","Separates policy-practice from means-ends decoupling.","Propositions are not all tested findings.",compliance,"C-007;C-008",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
LTH-COMP-02,"De- and Recoupling and Public Regulation","de Bree; Stoopendaal",2020,Organization Studies,https://doi.org/10.1177/0170840618800115,peer_reviewed,"COMP-01 plus targeted title search",2026-08-30,true,"qualitative regulatory pilot","six Dutch healthcare organizations","Decomposes goal, management system, practice, and outcome links.","Small voluntary sample with unresolved durability.",compliance,"C-007;C-008",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
LTH-COMP-03,"Making Self-Regulation More Than Merely Symbolic: The Critical Role of the Legal Environment","Short; Toffel",2010,Administrative Science Quarterly,https://doi.org/10.2189/asqu.2010.55.3.361,peer_reviewed,"COMP-02 plus targeted title search",2026-08-30,true,"matched observational analysis","US Clean Air Act facilities","Commitments were followed by stronger inspection outcomes under sustained surveillance.","Setting-specific and no clean practice/outcome separation.",compliance,"C-007;C-008",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
LTH-COMP-04,"Decoupling Practical and Legal Compliance: Analysis of Member States' Implementation of EU Policy","Zhelyazkova; Kaya; Schrama",2016,European Journal of Political Research,https://doi.org/10.1111/1475-6765.12154,peer_reviewed,"COMP-03 plus targeted title search",2026-08-30,true,"cross-national directive analysis","24 directives in 27 EU states","Legal and practical compliance differ; administrative capacity and social support predict less decoupling.","Small directive set and mixed practical indicators.",compliance,"C-007;C-008",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
LTH-COMP-05,"Is Decoupling Becoming Decoupled from Institutional Theory? A Commentary on Wijen","Haack; Schoeneborn",2015,Academy of Management Review,https://doi.org/10.5465/amr.2014.0344,peer_reviewed,"COMP-01 plus targeted title search",2026-08-30,true,"theoretical commentary","organizations","Warns against merging policy-practice and means-ends decoupling and emphasizes temporal dynamics.","Short commentary, not an empirical test.",compliance,"C-007",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
LTH-TEXT-01,"Text as Data: The Promise and Pitfalls of Automatic Content Analysis Methods for Political Texts","Grimmer; Stewart",2013,Political Analysis,https://doi.org/10.1093/pan/mps028,peer_reviewed,"TEXT-01 plus targeted title search",2026-08-30,true,"methodological review","political text applications","Validation is application-specific and requires held-out class-specific assessment.","Pre-LLM and no universal downstream correction.",measurement,"C-007",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
LTH-TEXT-02,"Using Imperfect Surrogates for Downstream Inference: Design-Based Supervised Learning for Social Science Applications of Large Language Models","Egami; Hinck; Stewart; Wei",2023,NeurIPS,https://doi.org/10.52202/075280-3000,peer_reviewed,"TEXT-01 plus targeted title search",2026-08-30,true,"design-based measurement-error correction","18 text tasks","High accuracy need not yield valid regression; correction requires known positive label-sampling probabilities.","Predicted outcomes only and assumes credible gold labels.",measurement,"C-007;C-008",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
LTH-TEXT-03,"Codebook LLMs: Evaluating LLMs as Measurement Tools for Political Science Concepts","Halterman; Keith",2026,Political Analysis,https://doi.org/10.1017/pan.2025.10017,peer_reviewed,"TEXT-02 plus targeted title search",2026-08-30,true,"multi-stage validation framework","three English political codebooks","Full-codebook and class-level behavioral tests expose shortcuts hidden by aggregate scores.","Three datasets and time-sensitive models; no downstream correction.",measurement,"C-007",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
LTH-TEXT-04,"Testing Causal Theories with Learned Proxies","Knox; Lucas; Cho",2022,Annual Review of Political Science,https://doi.org/10.1146/annurev-polisci-051120-111443,peer_reviewed,"TEXT-03 plus targeted title search",2026-08-30,true,"methodological review","social-science learned proxies","Human labels and models can be contaminated; uncertainty and held-out confusion data matter.","Identification rests on explicit assumptions.",measurement,"C-007;C-008",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
LTH-TEXT-05,"Misclassification in Automated Content Analysis Causes Bias in Regression. Can We Fix It? Yes We Can!","TeBlunthuis; Hase; Chan",2024,Communication Methods and Measures,https://doi.org/10.1080/19312458.2023.2293713,peer_reviewed,"TEXT-03 plus targeted title search",2026-08-30,true,"systematic review and simulation","48 studies plus simulations","Misclassification can attenuate, exaggerate, or reverse coefficients despite strong predictive metrics.","Correction needs a correctly specified error model and adequate validation data.",measurement,"C-007;C-008",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
LTH-TEXT-06,"ChatGPT Outperforms Crowd Workers for Text-Annotation Tasks","Gilardi; Alizadeh; Kubli",2023,PNAS,https://doi.org/10.1073/pnas.2305016120,peer_reviewed,"TEXT-02 plus targeted title search",2026-08-30,true,"annotation benchmark","6183 English tweets and news articles","GPT-3.5 outperformed crowd workers on several common tasks.","Single vintage, agreement-conditioned gold labels, and no downstream inference.",measurement,"C-007",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
