source_id,literature,citation,year,doi_or_url,full_text_opened,locations_checked,key_finding,limitation,claim_mapping,decision
LTH-CAP-04,lgfv_exit_transformation,"Feng, Wu, and Zhang. The Development of Local Government Financial Vehicles in China: A Case Study of Jiaxing Chengtou. Land Use Policy 112:104793.",2022,https://doi.org/10.1016/j.landusepol.2020.104793,true,"pp. 4-8","Jiaxing Chengtou left the monitoring list yet retained SASAC ownership, government-appointed management, infrastructure functions, and government-linked repayment; later debt clearance coexisted with regrouping into a larger public group.","One purposively selected disclosure-rich case ending around 2018.","C-007: direct functional-persistence counterexample. C-008: debt absorption and asset governance are distinct processes.",include
LTH-CAP-05,debt_resolution_recentralization,"Choi, Lu, Park, and Sohn. The Financial Value of the Within-Government Political Network: Evidence from Chinese Municipal Corporate Bonds. Finance Research Letters 47:102552.",2022,https://doi.org/10.1016/j.frl.2021.102552,true,"author manuscript pp. 1-6 and Sections 3-5","Leaders' provincial or central ties predicted lower municipal corporate-bond spreads and the association persisted after Document 43.","Residual endogeneity; bond pricing is not evidence of successful administrative reorganization.","C-008: political connections and implicit guarantees are alternatives to bureaucratic coordination capacity.",include
LTH-CAP-06,historical_capacity,"Chen, Kung, and Ma. Long Live Keju! The Persistent Effects of China's Civil Examination System. Economic Journal 130(631):2030-2064.",2020,https://doi.org/10.1093/ej/ueaa043,true,"author manuscript pp. 1-4, 21-26","Ming-Qing jinshi density predicts modern schooling through education, culture, and social capital; high-ranking political-elite continuity is absent in Communist subperiods through 2017.","Outcome is human capital, not LGFV reform or administrative performance.","C-008: the historical proxy is not a direct capacity measure and has strong competing persistence channels.",include
LTH-COMP-01,compliance_functional_substitution,"Bromley and Powell. From Smoke and Mirrors to Walking the Talk: Decoupling in the Contemporary World. Academy of Management Annals 6(1):483-530.",2012,https://doi.org/10.1080/19416520.2012.684462,true,"pp. 485, 489-490, 495-497, 508-509, 516-519","Policy-practice decoupling differs from means-ends decoupling: nonimplementation differs from implemented practices with weak or uncertain outcome links.","Conceptual review whose propositions are not all tested findings.","C-007: decisive prior art against novelty for formal-substantive distinction. C-008: capacity and willingness must be measured separately.",include
LTH-COMP-02,compliance_functional_substitution,"de Bree and Stoopendaal. De- and Recoupling and Public Regulation. Organization Studies 41(5):599-620.",2020,https://doi.org/10.1177/0170840618800115,true,"pp. 601-605, 614-617","The compliance chain can be decomposed into regulatory goal, management system, daily practice, and real outcome, with distinct gaps and possible recoupling.","Six voluntary Dutch healthcare organizations and unresolved durability/generalizability.","C-007: close adjacent measurement architecture. C-008: requires interface-level evidence, including feedback and correction.",include
LTH-COMP-03,compliance_functional_substitution,"Short and Toffel. Making Self-Regulation More Than Merely Symbolic: The Critical Role of the Legal Environment. Administrative Science Quarterly 55(3):361-396.",2010,https://doi.org/10.2189/asqu.2010.55.3.361,true,"pp. 373-376, 383-391","Formal self-regulatory commitments were followed by better inspection outcomes particularly under intensive organizational and field surveillance.","U.S. environmental setting; matching cannot remove time-varying selection and the study does not separate practice from ultimate social outcome.","C-007: commitment-versus-follow-through is established. C-008: sustained monitoring is a coordination observable, whereas one-off pressure is not.",include
LTH-COMP-04,compliance_functional_substitution,"Zhelyazkova, Kaya, and Schrama. Decoupling Practical and Legal Compliance: Analysis of Member States' Implementation of EU Policy. European Journal of Political Research 55(4):827-846.",2016,https://doi.org/10.1111/1475-6765.12154,true,"journal pp. 828, 834-845","Legal transposition and practical implementation differ; administrative capacity and social support predict less decoupling across EU directives.","Only 24 directives, sector imbalance, and practical indicators that sometimes combine outputs and outcomes.","C-007: formal-practical distinction is empirically operationalized. C-008: contemporary capacity and actor fragmentation are alternative explanations, not validation of historical persistence.",include
LTH-COMP-05,compliance_functional_substitution,"Haack and Schoeneborn. Is Decoupling Becoming Decoupled from Institutional Theory? A Commentary on Wijen. Academy of Management Review 40(2):307-310.",2015,https://doi.org/10.5465/amr.2014.0344,true,"manuscript pp. 2-7","Policy-practice and means-ends decoupling should not be collapsed; formal talk can induce later practice and organizational ends are contested and changing.","Short theoretical commentary rather than an empirical test.","C-007: use plain formal-event/practice and practice/outcome labels; repeated observations are needed to distinguish delay from persistence.",include
LTH-TEXT-01,text_measurement_error,"Grimmer and Stewart. Text as Data: The Promise and Pitfalls of Automatic Content Analysis Methods for Political Texts. Political Analysis 21(3):267-297.",2013,https://doi.org/10.1093/pan/mps028,true,"pp. 271, 279-280, 294-295","Validity is application-specific; out-of-sample human labels, class-specific precision and recall, and propagated uncertainty are required.","Pre-LLM review that treats human labels as benchmark and supplies no universal downstream correction.","C-007: codebooks and human validation are not novel; application-specific LGFV construct may be.",include
LTH-TEXT-02,text_measurement_error,"Egami, Hinck, Stewart, and Wei. Using Imperfect Surrogates for Downstream Inference: Design-Based Supervised Learning for Social Science Applications of Large Language Models. NeurIPS 36:68589-68601.",2023,https://doi.org/10.52202/075280-3000,true,"pp. 68589-68598","High label accuracy does not ensure valid downstream regression; design-based correction requires known positive gold-label sampling probabilities.","Targets predicted outcomes in a prespecified corpus, not text predictors, unit classification, domain shift, or ambiguous gold labels.","C-007: downstream validation is established prior art. C-008: coded mechanism indicators would require compatible error treatment.",include
LTH-TEXT-03,text_measurement_error,"Halterman and Keith. Codebook LLMs: Evaluating LLMs as Measurement Tools for Political Science Concepts. Political Analysis 34(2):188-204.",2026,https://doi.org/10.1017/pan.2025.10017,true,"pp. 188-203","A five-stage framework tests codebook following, class-level performance, exclusion rules, swapped labels, and shortcuts; aggregate F1 can hide failures.","Three English single-label political datasets and time-sensitive 7-12B models; no downstream bias correction.","C-007: directly forecloses novelty for codebook-based LLM measurement generally; novelty must be the LGFV institutional-fate construct and evidence design.",include
LTH-TEXT-04,text_measurement_error,"Knox, Lucas, and Cho. Testing Causal Theories with Learned Proxies. Annual Review of Political Science 25:419-441.",2022,https://doi.org/10.1146/annurev-polisci-051120-111443,true,"pp. 424-427, 434-435, 438-439","Human annotation, model shortcuts, and construct contamination can bias learned proxies; held-out confusion tables and corrected uncertainty are needed.","Identification depends on explicit assumptions and contamination can be impossible to rule out.","C-007: proxy-validation principles are not novel. C-008: mechanism codes must be checked for contamination by contemporary capacity and document availability.",include
LTH-TEXT-05,text_measurement_error,"TeBlunthuis, Hase, and Chan. Misclassification in Automated Content Analysis Causes Bias in Regression. Can We Fix It? Yes We Can! Communication Methods and Measures 18(3):278-299.",2024,https://doi.org/10.1080/19312458.2023.2293713,true,"full accepted text and simulation sections","Classifier error can attenuate, exaggerate, or reverse regression coefficients depending on variable role and systematic error; high predictive metrics can coexist with false substantive conclusions.","Correction requires a correctly specified error model and adequate validation counts.","C-007: measurement-to-inference safeguards are prior art. C-008: differential mechanism-label error must be assessed.",include
LTH-TEXT-06,text_measurement_error,"Gilardi, Alizadeh, and Kubli. ChatGPT Outperforms Crowd Workers for Text-Annotation Tasks. PNAS 120(30):e2305016120.",2023,https://doi.org/10.1073/pnas.2305016120,true,"pp. 1-3","On several common English annotation tasks, GPT-3.5 zero-shot accuracy and repeated-model agreement exceeded crowd-worker performance.","Single model vintage, agreement-conditioned gold labels, common English tasks, and no downstream regression analysis.","C-007: conflicting adjacent evidence supports LLM coding feasibility but not construct validity or downstream inference; it cannot establish novelty.",include
